Company Name,Job Title,Job Details
FDM Group - Australia,Project Grace: Technical Graduate Program,"About the role
Named after Grace Hopper, a pioneering female American computer scientist and mathematician, the program’s goal is to inspire graduates to dream big and aim high. As the inventor of the first computer compiler, leading to the development of COBOL, an early programming language, Grace sets us a shining example.
FDM’s specialised training will provide you with the platform and tools to develop a strong technical foundation and equip you with the practical skills to be a leading tech consultant.
Pathways may include:
Software Development
Technical Analysis
Data Engineering
Cloud Computing Engineering
Business Intelligence
Dive headfirst into inspiring projects and work collaboratively within an agile team. This could involve building web or mobile software that has real world applications, so you are constantly challenged to apply and develop your new skillset.
Performing well here will boost your chances of being put forward to work on cutting-edge client assignments with our big brand partners across various industries. This hands-on client experience will help you continually improve and advance your consulting career.
About You
Educated to a university degree level (bachelor or higher)
Able to commit to completing our full 2.5-year graduate program
Strong problem-solving and analytical skills
Excellent interpersonal skills and communication
Eligibility to work in Australia
Open to relocating for client projects, the majority of our clients are based in Sydney and Melbourne, so we look for you to be flexible to relocate. At FDM we support you with a relocation package and ensure you are connected with other FDM Consultants. Learn more here.
What we offer you:
Full-time employment with a competitive salary
Training provided by industry experts, based on client demand
Ongoing career support throughout your entire FDM journey, including professional development, mentoring, and social networking events with a community of peers
Consultant Experience Team dedicated to your wellbeing, health, and happiness
Opportunity to become a leading consultant in one of the most in-demand tech fields
This is your opportunity to enter a world of unlimited possibilities – Apply Now!
About FDM
FDM Group is the pioneer and market leader in the recruit, train and deploy industry specialising in the technology sector. For over 30 years, FDM has helped successfully launch the tech careers of thousands of graduates just like you, with 3,000+ globally in 2022 alone. FDM Group is a FTSE 250 employer with a global footprint and now on the FTSE4Good Index.
Our culture
With 95+ nationalities working together as a team, FDM is a company committed to diversity and inclusion, in terms of background, culture and skills. We celebrate difference because we want everyone to have equal opportunity to belong and grow in their career. We are active in creating a more gender-balanced workforce, with circa 33% of our senior management team and 31% of all employees identifying as female.
Diversity, equity and inclusion are at the heart of what we value as an organisation. FDM Group is an equal opportunities employer, and all qualified applicants will receive consideration for employment without regard to race, religion, sex, sexual orientation, age, disability or any other status protected by law. Our recruitment team are happy to support with any reasonable adjustments that are needed within the recruitment process.
Note: Although we use the word women or female, it is important to us that you understand our definitions include all women; cisgender, transgender or gender diverse, and we acknowledge and include those who identify outside the binary. Men are also always welcome to apply.
We have multiple start dates all year round, so you can Apply Today!
Please only submit one application, our Recruitment team will consider you for all other relevant open Graduate Programs we are hiring for."
FDM Group - Australia,Software Development Graduate Program,"Software developers are the creative, brainstorming masterminds behind all computer applications, making this one of the world’s most in-demand, fastest growing areas.
Our industry leading Academy provides you with specialised training, developing your skills in languages such as Python, Java, .Net and JavaScript frameworks.
You’ll have exposure to Cloud platforms such as Azure and learn about different development practices such as DevOps and Agile working.
Dive headfirst into inspiring projects where you will work collaboratively within an agile team and be constantly challenged to apply and develop your new skillset. Performing well here will boost your chances of being put forward to work on cutting-edge client assignments with our big brand partners across various industries.
About You
Educated to a university degree level (bachelor or higher)
Able to commit to completing our full 2.5-year graduate program
Strong problem-solving and analytical skills
Excellent interpersonal skills and communication
Eligibility to work in Australia
Open to relocating for client projects, the majority of our clients are based in Sydney and Melbourne, so we look for you to be flexible to relocate. At FDM we support you with a relocation package and ensure you are connected with other FDM Consultants. Learn more here.
What we offer you:
Full-time employment with a competitive salary and 2.5 years of job security
Training provided by industry experts, based on client demand
Ongoing career support throughout your entire FDM journey, including professional development, mentoring, and social networking events with a community of peers
Consultant Experience Team dedicated to your wellbeing, health, and happiness
Opportunity to become a leading consultant in one of the most in-demand tech fields
This is your opportunity to enter a world of unlimited possibilities – Apply Now!
About FDM
FDM Group is the pioneer and market leader in the recruit, train and deploy industry specialising in the technology sector. For over 30 years, FDM has helped successfully launch the tech careers of thousands of graduates just like you, with 3,000+ globally in 2022 alone. FDM Group is a FTSE 250 employer with a global footprint and now on the FTSE4Good Index.
Our culture
With 95+ nationalities working together as a team, FDM is a company committed to diversity and inclusion, in terms of background, culture and skills. We celebrate difference because we want everyone to have equal opportunity to belong and grow in their career. We are active in creating a more gender-balanced workforce, with circa 33% of our senior management team and 31% of all employees identifying as female.
Diversity, equity and inclusion are at the heart of what we value as an organisation. FDM Group is an equal opportunities employer, and all qualified applicants will receive consideration for employment without regard to race, religion, sex, sexual orientation, age, disability or any other status protected by law. Our recruitment team are happy to support with any reasonable adjustments that are needed within the recruitment process.
We have multiple start dates all year round, so you can Apply Today!
Please only submit one application, our Recruitment team will consider you for all other relevant open Graduate Programs we are hiring for."
FDM Group - Australia,Technical Analysis Graduate Program,"Technical Analysis is extremely varied, where each day brings new and interesting challenges - investigating, troubleshooting and resolving technical issues.
Learn essential IT skills that will equip you for a range of technical roles such as data analysis, quality assurance, IT operations, and tools such as SQL, Unix, Excel/VBA, BA, Python, ITIL, Cloud.
As an FDM a Technical Analyst Consultant you’ll work with team members and managers to translate technical requirements into functioning solutions, gaining the skills needed to develop an application, such as an ecommerce website.
Dive headfirst into inspiring projects where you will work collaboratively within an agile team and be constantly challenged to apply and develop your new skillset. Performing well here will boost your chances of being put forward to work on cutting-edge client assignments with our big brand partners across various industries.
About You
Educated to a university degree level (bachelor or higher)
Able to commit to completing our full 2.5-year graduate program
Strong problem-solving and analytical skills
Excellent interpersonal skills and communication
Eligibility to work in Australia
Open to relocating for client projects, the majority of our clients are based in Sydney and Melbourne, so we look for you to be flexible to relocate. At FDM we support you with a relocation package and ensure you are connected with other FDM Consultants. Learn more here.
What we offer you:
Full-time employment with a competitive salary
Training provided by industry experts, based on client demand
Ongoing career support throughout your entire FDM journey, including professional development, mentoring, and social networking events with a community of peers
Consultant Experience Team dedicated to your wellbeing, health, and happiness
Opportunity to become a leading consultant in one of the most in-demand tech fields
This is your opportunity to enter a world of unlimited possibilities – Apply Now!
About FDM
FDM Group is the pioneer and market leader in the recruit, train and deploy industry specialising in the technology sector. For over 30 years, FDM has helped successfully launch the tech careers of thousands of graduates just like you, with 3,000+ globally in 2022 alone. FDM Group is a FTSE 250 employer with a global footprint and now on the FTSE4Good Index.
Our culture
With 95+ nationalities working together as a team, FDM is a company committed to diversity and inclusion, in terms of background, culture and skills. We celebrate difference because we want everyone to have equal opportunity to belong and grow in their career. We are active in creating a more gender-balanced workforce, with circa 33% of our senior management team and 31% of all employees identifying as female.
Diversity, equity and inclusion are at the heart of what we value as an organisation. FDM Group is an equal opportunities employer, and all qualified applicants will receive consideration for employment without regard to race, religion, sex, sexual orientation, age, disability or any other status protected by law. Our recruitment team are happy to support with any reasonable adjustments that are needed within the recruitment process.
We have multiple start dates all year round, so you can Apply Today!
Please only submit one application, our Recruitment team will consider you for all other relevant open Graduate Programs we are hiring for."
FDM Group - Australia,2023 Technical Consultant Graduate Program,"Your dream career is only a few clicks away!  
The unlimited possibilities of the FDM Technical Consultant
If you have the passion and drive, The FDM Technical Graduate Program offers you the opportunity to kickstart your successful career in tech – regardless of your degree.
Our 2-year program gets your foot in the door of some of the world’s largest and most renowned organisations in the banking and finance, insurance, charity, gaming and retail industries.
During training, you will learn what it’s like to work in a development environment, using an agile methodology to collaborate with cross-functional teams. You’ll work on dynamic challenges such as the delivery of real-world applications, ranging from web-based to machine learning and data science to quality assurance and cloud technologies. Our training includes modules on professional skills to ensure you have the confidence to start making a difference in your role from day one.
Once you’ve completed training, we place you with one of our industry-leading clients where you will work as a fully integrated member of their team, gaining valuable experience working on cutting-edge projects. What’s more, we will be here to support you through every step of your career journey with us.
The career pathways you can follow include:
Software Development
Technical Analysis
Business Intelligence
Cloud Computing Engineering
Data Engineering  
Don’t worry if you’re unsure of what you’d like to specialise in, our experienced team work with you to establish your career goals and match your skills and strengths to the stream that is the best fit.
5 reasons why FDM is for you:  
Access to blue-chip companies at the start of your graduate career
Commercially relevant and fully-funded training, with opportunities to earn industry recognised qualifications
Individual mentoring and coaching to help support your FDM experience
Opportunities to work across Australia and beyond, with relocation support where available
Access to different FDM staff networks which provide a supportive community for discussion, learning, personal growth and career development   
About You
The ideal FDMer has:
A passion to succeed within the IT industry
A Bachelor’s degree – all degree subjects welcome
Commitment to a two-year contract with FDM after training
Eligibility to work in Australia
The geographic flexibility to work within Sydney or Melbourne."
FDM Group - Australia,2023 Technical Consultant Graduate Program,"Your dream career is only a few clicks away!  
The unlimited possibilities of the FDM Technical Consultant
If you have the passion and drive, The FDM Technical Graduate Program offers you the opportunity to kickstart your successful career in tech – regardless of your degree.
Our 2-year program gets your foot in the door of some of the world’s largest and most renowned organisations in the banking and finance, insurance, charity, gaming and retail industries.
During training, you will learn what it’s like to work in a development environment, using an agile methodology to collaborate with cross-functional teams. You’ll work on dynamic challenges such as the delivery of real-world applications, ranging from web-based to machine learning and data science to quality assurance and cloud technologies. Our training includes modules on professional skills to ensure you have the confidence to start making a difference in your role from day one.
Once you’ve completed training, we place you with one of our industry-leading clients where you will work as a fully integrated member of their team, gaining valuable experience working on cutting-edge projects. What’s more, we will be here to support you through every step of your career journey with us.
The career pathways you can follow include:
Software Development
Technical Analysis
Business Intelligence
Cloud Computing Engineering
Data Engineering  
Don’t worry if you’re unsure of what you’d like to specialise in, our experienced team work with you to establish your career goals and match your skills and strengths to the stream that is the best fit.
5 reasons why FDM is for you:  
Access to blue-chip companies at the start of your graduate career
Commercially relevant and fully-funded training, with opportunities to earn industry recognised qualifications
Individual mentoring and coaching to help support your FDM experience
Opportunities to work across Australia and beyond, with relocation support where available
Access to different FDM staff networks which provide a supportive community for discussion, learning, personal growth and career development   
About You
The ideal FDMer has:
A passion to succeed within the IT industry
A Bachelor’s degree – all degree subjects welcome
Commitment to a two-year contract with FDM after training
Eligibility to work in Australia
The geographic flexibility to work within Sydney or Melbourne."
FDM Group - Australia,2024 Graduate Program,"Dive headfirst into inspiring projects where you will work collaboratively within an agile team and be constantly challenged to apply and develop your new skillset. Performing well here will boost your chances of being put forward to work on cutting-edge client assignments with our big brand partners across various industries.
Pathways may include:
Software Development
Technical Analysis
Data Engineering
Cloud Computing Engineering
Business Intelligence
About You
Educated to a university degree level (bachelor or higher)
Able to commit to completing our full 2.5-year graduate program
Strong problem-solving and analytical skills
Excellent interpersonal skills and communication
Eligibility to work in Australia
Open to relocating for client projects, the majority of our clients are based in Sydney and Melbourne, so we look for you to be flexible to relocate. At FDM we support you with a relocation package and ensure you are connected with other FDM Consultants. Learn more here.
What we offer you:
Full-time employment with a competitive salary
Training provided by industry experts, based on client demand
Ongoing career support throughout your entire FDM journey, including professional development, mentoring, and social networking events with a community of peers
Consultant Experience Team dedicated to your wellbeing, health, and happiness
Opportunity to become a leading consultant in one of the most in-demand tech fields
This is your opportunity to enter a world of unlimited possibilities – Apply Now!
About FDM
FDM Group is the pioneer and market leader in the recruit, train and deploy industry specialising in the technology sector. For over 30 years, FDM has helped successfully launch the tech careers of thousands
of graduates just like you, with 3,000+ globally in 2022 alone. FDM Group is a FTSE 250 employer with a global footprint and now on the FTSE4Good Index.
Our culture
With 95+ nationalities working together as a team, FDM is a company committed to diversity and inclusion, in terms of background, culture and skills. We celebrate difference because we want everyone to have equal opportunity to belong and grow in their career. We are active in creating a more gender-balanced workforce, with circa 33% of our senior management team and 31% of all employees identifying as female.
Diversity, equity and inclusion are at the heart of what we value as an organisation. FDM Group is an equal opportunities employer, and all qualified applicants will receive consideration for employment without regard to race, religion, sex, sexual orientation, age, disability or any other status protected by law. Our recruitment team are happy to support with any reasonable adjustments that are needed within the recruitment process.
We have multiple start dates all year round, so you can Apply Today!
Please only submit one application, our Recruitment team will consider you for all other relevant open Graduate Programs we are hiring for."
FDM Group - Australia,FDM X ANZ Female Coding Bootcamp - Celebrating International Women's Day,"Want a taste of what a tech career could look like? This event could open up doors unimaginable. 
Gain understanding and experience with the Python coding language
Experience working in groups with other passionate females
Earn a certificate you can add to your CV and LinkedIn profile
Potentially fast-track your application for the FDM Technical Graduate Program
Chance to be pre-selected to work on exciting tech projects with ANZ
FDM & ANZ share a common commitment to fostering diversity and inclusion, particularly in the realm of technology. We both recognise the untapped potential of female tech talent. Through our collaborative efforts running coding bootcamps and more, we aim to bridge the gender gap and strive to harness the innovative contributions that people who identify as women bring to the table. 
Limited spaces available. Register now!
https://bit.ly/3UJcL4S"
FDM Group - Australia,Project Grace: Technical Graduate Program,"About The Role
Are you a wizard amongst your friends in the tech space?
Have you got analytical skills to share with the world?
Do you dream of being the next influential female tech leader?
The most in-demand industry right now is calling you
Learn real-world technical skills to boost your CV
Company culture committed to diversity, inclusion & fun
Named after Grace Hopper, a pioneering female American computer scientist and mathematician, the program’s goal is to inspire female graduates to dream big and aim high. As the inventor of the first computer compiler, leading to the development of COBOL, an early programming language, Grace sets us a shining example.
FDM’s specialised training will provide you with the platform and tools to develop a strong technical foundation and equip you with the practical skills to be a leading tech consultant.
 Pathways may include:
Software Development
Technical Analysis
Data Engineering
Cloud Computing Engineering
Business Intelligence
Dive headfirst into inspiring projects and work collaboratively within an agile team. This could involve building web or mobile software that has real world applications, so you are constantly challenged to apply and develop your new skillset.
Performing well here will boost your chances of being put forward to work on cutting-edge client assignments with our big brand partners across various industries. This hands-on client experience will help you continually improve and advance your consulting career.
About You
Minimum Qualifications:
Educated to a university degree level (bachelor or higher)
Able to commit to completing our full 2.5-year graduate program
Strong problem-solving and analytical skills
Excellent interpersonal skills and communication
Eligibility to work in Australia
Open to relocating for client projects, the majority of our clients are based in Sydney and Melbourne, so we look for you to be flexible to relocate. At FDM we support you with a relocation package and ensure you are connected with other FDM Consultants. Learn more here.
What we offer you:
Full-time employment with a competitive salary and 2.5 years of job security
Training provided by industry experts, based on client demand
Ongoing career support throughout your entire FDM journey, including professional development, mentoring, and social networking events with a community of peers
Consultant Experience Team dedicated to your wellbeing, health, and happiness
Opportunity to become a leading consultant in one of the most in-demand tech fields
This is your opportunity to enter a world of unlimited possibilities – Apply Now!
About Us
FDM Group is the pioneer and market leader in the recruit, train and deploy industry specialising in the technology sector. For over 30 years, FDM has helped successfully launch the tech careers of thousands of graduates just like you, with 3,000+ globally in 2022 alone. FDM Group is a FTSE 250 employer with a global footprint and now on the FTSE4Good Index.
Our Culture
With 95+ nationalities working together as a team, FDM is a company committed to diversity and inclusion, in terms of background, culture and skills. We celebrate difference because we want everyone to have equal opportunity to belong and grow in their career. We are active in creating a more gender-balanced workforce, with circa 33% of our senior management team and 31% of all employees identifying as female.
Diversity, equity and inclusion are at the heart of what we value as an organisation. FDM Group is an equal opportunities employer, and all qualified applicants will receive consideration for employment without regard to race, religion, sex, sexual orientation, age, disability or any other status protected by law. Our recruitment team are happy to support with any reasonable adjustments that are needed within the recruitment process.
We have multiple start dates all year round, so you can Apply Today!
Please only submit one application, our Recruitment team will consider you for all other relevant open Graduate Programs we are hiring for."
FDM Group - Australia,Technical Analyst Graduate Program,"About The Role
You’re not just good at maths – it sparks joy
You see some code and think: How does it work? How can it work better?
You like the idea of cracking and explaining the solutions to technical problems
Get into a branch of tech with endless innovation and variety
Learn the skills to make an impact and make a name for yourself
Company culture committed to diversity, inclusion & fun
Technical Analysis is extremely varied, where each day brings new and interesting challenges - investigating, troubleshooting and resolving technical issues.
Learn essential IT skills that will equip you for a range of technical roles such as data analysis, quality assurance, IT operations, and tools such as SQL, Unix, Excel/VBA, BA, Python, ITIL, Cloud.
As an FDM a Technical Analyst Consultant you’ll work with team members and managers to translate technical requirements into functioning solutions, gaining the skills needed to develop an application, such as an ecommerce website.
Dive headfirst into inspiring projects where you will work collaboratively within an agile team and be constantly challenged to apply and develop your new skillset. Performing well here will boost your chances of being put forward to work on cutting-edge client assignments with our big brand partners across various industries.

About You
Minimum Qualifications:
Educated to a university degree level (bachelor or higher)
Able to commit to completing our full 2.5-year graduate program
Strong problem-solving and analytical skills
Excellent interpersonal skills and communication
Eligibility to work in Australia
Open to relocating for client projects, the majority of our clients are based in Sydney and Melbourne, so we look for you to be flexible to relocate. At FDM we support you with a relocation package and ensure you are connected with other FDM Consultants. Learn more here.
What we offer you:
Full-time employment with a competitive salary and 2.5 years of job security
Training provided by industry experts, based on client demand
Ongoing career support throughout your entire FDM journey, including professional development, mentoring, and social networking events with a community of peers
Consultant Experience Team dedicated to your wellbeing, health, and happiness
Opportunity to become a leading consultant in one of the most in-demand tech fields
This is your opportunity to enter a world of unlimited possibilities – Apply Now!
About Us
FDM Group is the pioneer and market leader in the recruit, train and deploy industry specialising in the technology sector. For over 30 years, FDM has helped successfully launch the tech careers of thousands of graduates just like you, with 3,000+ globally in 2022 alone. FDM Group is a FTSE 250 employer with a global footprint and now on the FTSE4Good Index.
Our Culture
With 95+ nationalities working together as a team, FDM is a company committed to diversity and inclusion, in terms of background, culture and skills. We celebrate difference because we want everyone to have equal opportunity to belong and grow in their career. We are active in creating a more gender-balanced workforce, with circa 33% of our senior management team and 31% of all employees identifying as female.
Diversity, equity and inclusion are at the heart of what we value as an organisation. FDM Group is an equal opportunities employer, and all qualified applicants will receive consideration for employment without regard to race, religion, sex, sexual orientation, age, disability or any other status protected by law. Our recruitment team are happy to support with any reasonable adjustments that are needed within the recruitment process.
We have multiple start dates all year round, so you can Apply Today!
Please only submit one application, our Recruitment team will consider you for all other relevant open Graduate Programs we are hiring for."
FDM Group - Australia,2024 Graduate Program,"Are you:
creative
analytical
strategic
solution-focused
data-driven
organised
Whatever your area of expertise, we’re inviting ambitious and talented individuals who want to kick-start a career with unlimited possibilities. 
What will my time at FDM be like?
Your journey will begin with training out of FDM’s award-winning academy. While interviews and assessments are done remotely, you now have the option to undertake training online or at our centrally located, 21st-floor Sydney office in Barangaroo.
After successfully completing your training, you’ll step into an integral position as an FDM Technical Consultant working with one or more of our industry-leading, multinational clients in Australia.
From combatting cyber-security threats, and creating innovative digital experiences, to helping businesses make data-driven strategic decisions, a career working within tech offers an endless number of avenues to explore.  
Choose from several pathways, including:
Software Development
Business Intelligence
Technical Analysis
Cloud Computing Engineering
Data Engineering
What we offer you:
A full-time employment contract with job security
Opportunities to work across Australia with relocation support where appropriate
Training is provided by industry experts, covering both technical and professional skills to ensure you are job-ready
Ongoing career support throughout your entire FDM journey, including professional development, mentoring, and social networking events with a community of peers
A chance to launch a career in one of the most in-demand tech fields
We ask you to have the following: 
Educated to a university degree level (bachelor or higher), no STEM degree required
Demonstrable interest and desire to work in technology
Ability to commit to completing our full 2.5-year graduate program
Ability to relocate to Sydney or Melbourne to support our clients. (Relocation package will be provided)
Eligible to work in Australia (Australian citizen or permanent resident)
There has never been a better time to start a career in tech Apply Now!
 
About FDM
Our people are our passion. That's why we make your training and career growth our priority. We are a global professional services provider, focusing on IT. We are also one of Australia's leading graduate employers, recruiting the brightest talent to become the innovators of tomorrow. With centres across Europe, North America, and Asia-Pacific, and over 5,000 consultants placed on client sites globally, FDM has shown exponential growth throughout the years, firmly establishing itself as an award-winning FTSE 250 employer.
Diversity, Equity and Inclusion 
FDM Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, colour, religion, sex, sexual orientation, national origin, age, disability, veteran status, or any other status protected by federal, provincial, or local laws."
