,Job Title,Company,Job Brief,Deadline Date,Deadline Time,Job Description
0,Graduate Trainee,Zurich,"Understanding and documenting business logics from existing system including SSIS, SSRS and store procedures from SQL Server. Assisting the team to design and build the business data models and dataset.",02/03/2024,1800,"What You Will DoUnderstanding and documenting business logics from existing system including SSIS, SSRS and store procedures from SQL Server. Assisting the team to design and build the business data models and dataset. Building notebooks for data cleansing and data transformation. Preforming data testing and validation to ensure reliability and accuracy of data. Developing automated reports and dashboards using Power BI, driven by Data Warehouse / Datamart. Training and supporting other business functions to work with the Data Warehouse and build their own dashboards.In our team, we are working on a migration project, which involves a large scale of data and reporting migration from old system/tools to the new one.   As a Data Analyst intern, you will assist on this project and earn end-to-end experience from the ETL process and building BI report.Required Skills and AbilitiesExperience with SQL and Python programming. Knowledge of ETL concept and SQL Server, experience with ETL tool and SQL Server will be an advantage. Experience with Power BI or other visualization solutions. Strong communication skills in English and Chinese – candidate will be embedded within the business, sitting within theData team and continually interacting with stakeholders across the business. Bonus: has experience with cloud-based tools and solutions (Azure/ AWS/ Google Cloud Platform).Why Zurich:  At Zurich, we like to think outside the box and challenge the status quo.   We take an optimistic approach by focusing on the positives and constantly asking What can go right?   About Us:  Zurich is a leading multi-line insurer that serves its customers in global and local markets.   With about 54,000 employees, it provides a wide range of property and casualty, and life insurance products and services in more than 210 countries and territories.   Zurich’s customers include individuals, small businesses, and mid-sized and large companies, as well as multinational corporations.  The Group is headquartered in Zurich, Switzerland, where it was founded in 1872.  "
1,Sustainability Consulting Leadership Program 2024 - Environmental Engineering,Schneider Electric,"We aim to hire high-potential talents majoring in Environmental Engineering, Sustainability, Business Administration or related disciplines with strong passion for sustainability fields and develop them into future professionals in the sustainability world at Schneider Electric.",17/03/2024,1800,"The ProgrammeWhat is the SCLP? Schneider Electric's Sustainability Consulting Leadership Program 2024 (SCLP) is a 2-year rotational graduate program in the Global Sustainability Business Division in Schneider Electric.   We aim to hire high-potential talents majoring in Environmental Engineering, Sustainability, Business Administration or related disciplines with strong passion for sustainability fields and develop them into future professionals in the sustainability world at Schneider Electric.  What do we offer? Rotations and Job Shadowing: Rotations in 3 key functions within the Sustainability Business team to provide you with hands-on experience of the field. Accelerated Carrer Path: On-the-job learning and development opportunities to help you build a strong foundation for an accelerated career path. Individualized Career Development: Tailor an individual career development plan to your interests and goals to guide your progress throughout the program. Mentorship and Guidance: Experience mentors in sustainability will provide structured guidance and support to facilitate your development and success. Leadership Exposure: Interact with leadership teams within Sustainability Business team to broaden your network and gain valuable insights.  Permanent Role Placement: Upon successful completion of the SCLP, you will be placed in a permanent role within the Sustainability Business team.Required Skills and AbilitiesFinal year university students or recent graduates with a Bachelor's degree or above in Environmental Engineering, Sustainability, Business Administration, or other related disciplines. Passion for sustainability, desire to drive change & make an impact. Education and/or experience in the Sustainability space. Innovative, strong problem-solving & analytical thinking abilities. Willingness/potential to evolve to a leadership role in Sustainability.  Good team player and willing to collaborate cross-regions with diverse colleagues.  Proficiency in English and Cantonese, Mandarin is preferred.Recruitment Timeline: Application deadline: Mar 17, 2024. HR Interview: Mar - Apr 2024. Case Study: May 2024. Business Interview: May - Jun 2024. Offer delivery: Jun - Jul 2024.About Us:  Schneider Electric is leading the Digital Transformation of Energy Management and Automation in Homes, Buildings, Data Centers, Infrastructure and Industries.   With a global presence in over 100 countries, Schneider is the undisputable leader in Power Management – Medium Voltage, Low Voltage and Secure Power, and in Automation Systems. We provide integrated efficiency solutions, combining energy, automation and software.  In our global Ecosystem, we collaborate with the largest Partner, Integrator and Developer Community on our Open Platform to deliver real-time control and operational efficiency.  We believe that great people and partners make Schneider a great company and that our commitment to Innovation, Diversity and Sustainability ensures that Life Is On everywhere, for everyone and at every moment. "
2,Sustainability Consulting Leadership Program 2024 - Administration,Schneider Electric,"We aim to hire high-potential talents majoring in Environmental Engineering, Sustainability, Business Administration or related disciplines with strong passion for sustainability fields and develop them into future professionals in the sustainability world at Schneider Electric.",17/03/2024,1800,"The ProgrammeWhat is the SCLP? Schneider Electric's Sustainability Consulting Leadership Program 2024 (SCLP) is a 2-year rotational graduate program in the Global Sustainability Business Division in Schneider Electric.   We aim to hire high-potential talents majoring in Environmental Engineering, Sustainability, Business Administration or related disciplines with strong passion for sustainability fields and develop them into future professionals in the sustainability world at Schneider Electric.  What do we offer? Rotations and Job Shadowing: Rotations in 3 key functions within the Sustainability Business team to provide you with hands-on experience of the field. Accelerated Carrer Path: On-the-job learning and development opportunities to help you build a strong foundation for an accelerated career path. Individualized Career Development: Tailor an individual career development plan to your interests and goals to guide your progress throughout the program. Mentorship and Guidance: Experience mentors in sustainability will provide structured guidance and support to facilitate your development and success. Leadership Exposure: Interact with leadership teams within Sustainability Business team to broaden your network and gain valuable insights.  Permanent Role Placement: Upon successful completion of the SCLP, you will be placed in a permanent role within the Sustainability Business team.Required Skills and AbilitiesFinal year university students or recent graduates with a Bachelor's degree or above in Environmental Engineering, Sustainability, Business Administration, or other related disciplines. Passion for sustainability, desire to drive change & make an impact. Education and/or experience in the Sustainability space. Innovative, strong problem-solving & analytical thinking abilities. Willingness/potential to evolve to a leadership role in Sustainability.  Good team player and willing to collaborate cross-regions with diverse colleagues.  Proficiency in English and Cantonese, Mandarin is preferred.Recruitment Timeline: Application deadline: Mar 17, 2024. HR Interview: Mar - Apr 2024. Case Study: May 2024. Business Interview: May - Jun 2024. Offer delivery: Jun - Jul 2024.About Us:  Schneider Electric is leading the Digital Transformation of Energy Management and Automation in Homes, Buildings, Data Centers, Infrastructure and Industries.   With a global presence in over 100 countries, Schneider is the undisputable leader in Power Management – Medium Voltage, Low Voltage and Secure Power, and in Automation Systems. We provide integrated efficiency solutions, combining energy, automation and software.  In our global Ecosystem, we collaborate with the largest Partner, Integrator and Developer Community on our Open Platform to deliver real-time control and operational efficiency.  We believe that great people and partners make Schneider a great company and that our commitment to Innovation, Diversity and Sustainability ensures that Life Is On everywhere, for everyone and at every moment. "
3,FCAS Student Placement -Operational Strategy & Development- IT,The Bank of East Asia,Collaborate with cross-functional teams to ensure effective communication and project progress. Contribute to the identification and implementation of process improvements to enhance operational efficiency.,02/03/2024,1800,"What You Will DoSupport project coordination and contributing to operations process improvement initiatives. Able to apply the latest technology into daily operational activities. Collaborate with cross-functional teams to ensure effective communication and project progress. Contribute to the identification and implementation of process improvements to enhance operational efficiency. Support the development and maintenance of project documentation, reports, and dashboards. Participate in meetings and provide administrative support to project managers. Assist in coordinating project activities, including scheduling, resource allocation, and task tracking.Required Skills and AbilitiesEducation Background: Undergraduate students, or postgraduate students at one of the participating tertiary education institutions.Discipline Preferred:                 Information Technology / Computer Science. Business / Project Management. Technical Skills: Advanced knowledge of Microsoft Excel (e.g. Macro). SQL (an advantage). Project Management.Language Proficiency: Good command in both written and spoken English and Chinese (both Cantonese and Mandarin)Others:    Sound analytical and problem-solving skills. Strong organizational and multitasking abilities. Proactive attitude with a willingness to learn and take on new challenges. Take initiative and drive their own success. Willing to challenge the status quo will contribute to our continuous improvement culture.Internship Duration:   6 months. Internship Period:   07 / 2024 – 06 / 2025.About Us:  Incorporated in 1918, The Bank of East Asia, Limited (“BEA”) is a leading Hong Kong-based financial services group listed on The Stock Exchange of Hong Kong, with total consolidated assets of HK$884.4 billion (US$114.1 billion) as of 31st December, 2020.   BEA provides a comprehensive range of corporate banking, personal banking, wealth management, and investment services to customers throughout Greater China and beyond.   In Hong Kong, BEA maintains one of the largest retail networks of any bank, with full-service branches, SupremeGold Centers for high net-worth customers, and innovative, extended hour i-Financial Centres conveniently located throughout the city. "
4,CAS Student Placement -Risk Analytics & Governance- Information Systems,The Bank of East Asia,Participate in enhancement and maintenance of Bank-wide Risk Data Warehouse for enabling robust data architecture and supporting various regulatory reporting and calculation requirement,02/03/2024,1800,"What You Will DoTo be a team member of Risk Tech & Digitalization Section. Participate in enhancement and maintenance of Bank-wide Risk Data Warehouse for enabling robust data architecture and supporting various regulatory reporting and calculation requirement Collect user requirement, liaise with IT and external vendors and conduct user acceptance test Conduct data analysis and prepare management reports.After the program, candidate is expected to have below take-away: The candidate will be able to learn how a bank manages and enhances its bank-wide level risk data warehouse to fulfil regulatory requirements and support better analytics. Candidate will witness how the advanced technology and market vendor solution be applied in bank’s day-to-day lives and streamline the internal process.Required Skills and AbilitiesEducation Background: Undergraduate students, or postgraduate students at one of the participating tertiary education institutions.  Discipline Preferred:                Risk Management. Information System. Business Analysis. Technical Skills: Knowledge in massive data processing and quantitative analysis techniques.Language Proficiency: Good command in both written and spoken English and Chinese (both Cantonese and Mandarin).Internship Duration:12 months. Internship Period:   06 / 2024 – 05 / 2025.  About Us:  Incorporated in 1918, The Bank of East Asia, Limited (“BEA”) is a leading Hong Kong-based financial services group listed on The Stock Exchange of Hong Kong, with total consolidated assets of HK$884.4 billion (US$114.1 billion) as of 31st December, 2020.   BEA provides a comprehensive range of corporate banking, personal banking, wealth management, and investment services to customers throughout Greater China and beyond.   In Hong Kong, BEA maintains one of the largest retail networks of any bank, with full-service branches, SupremeGold Centers for high net-worth customers, and innovative, extended hour i-Financial Centres conveniently located throughout the city. "
5,CAS Student Placement -Risk Analytics & Governance- Compliance,The Bank of East Asia,Participate in enhancement and maintenance of Bank-wide Risk Data Warehouse for enabling robust data architecture and supporting various regulatory reporting and calculation requirement,02/03/2024,1800,"What You Will DoTo be a team member of Risk Tech & Digitalization Section. Participate in enhancement and maintenance of Bank-wide Risk Data Warehouse for enabling robust data architecture and supporting various regulatory reporting and calculation requirement Collect user requirement, liaise with IT and external vendors and conduct user acceptance test Conduct data analysis and prepare management reports.After the program, candidate is expected to have below take-away: The candidate will be able to learn how a bank manages and enhances its bank-wide level risk data warehouse to fulfil regulatory requirements and support better analytics. Candidate will witness how the advanced technology and market vendor solution be applied in bank’s day-to-day lives and streamline the internal process.Required Skills and AbilitiesEducation Background: Undergraduate students, or postgraduate students at one of the participating tertiary education institutions.  Discipline Preferred:                Risk Management. Information System. Business Analysis. Technical Skills: Knowledge in massive data processing and quantitative analysis techniques.Language Proficiency: Good command in both written and spoken English and Chinese (both Cantonese and Mandarin).Internship Duration:12 months. Internship Period:   06 / 2024 – 05 / 2025.  About Us:  Incorporated in 1918, The Bank of East Asia, Limited (“BEA”) is a leading Hong Kong-based financial services group listed on The Stock Exchange of Hong Kong, with total consolidated assets of HK$884.4 billion (US$114.1 billion) as of 31st December, 2020.   BEA provides a comprehensive range of corporate banking, personal banking, wealth management, and investment services to customers throughout Greater China and beyond.   In Hong Kong, BEA maintains one of the largest retail networks of any bank, with full-service branches, SupremeGold Centers for high net-worth customers, and innovative, extended hour i-Financial Centres conveniently located throughout the city. "
6,FCAS Student Placement -ESG Risk & Oversight- Banking/Finance,The Bank of East Asia,"Assist in preparation of regular / ad-hoc MI reports and presentation materials for ESG/climate risk management, including risk appetite monitoring and progress of key risk management initiatives, etc.",02/03/2024,1800,"What You Will DoFor ESG Risk: Assist in preparation of regular / ad-hoc MI reports and presentation materials for ESG/climate risk management, including risk appetite monitoring and progress of key risk management initiatives, etc. Assist in data compilation in ESG / Climate risk related reporting, including ESG checklist result analysis, financed emission computations and green/brown exposures in selected industries/sectors/counterparties/regions. Support any other ad-hoc duties as required by Head of EROD and Section Head of ESG and Climate Risk.For Retail Credit Risk: Support to manage the risk costs (NPL, impairment loss) of retail lending products in accordance with the approved budget. Assist in formulating collection strategies with the use of various credit decision tools such as credit scorecards, segmentation models, effective MIS reports, etc. for improving the portfolio performance and minimizing the recovery expense. Assist in managing the collection performance of Debt Collection Agencies and EADIS Collection team. Participate in various system developments and user acceptance test (UAT).Required Skills and AbilitiesEducation Background:Undergraduate students, or postgraduate students at one of the participating tertiary education institutions.Discipline Preferred:                Risk Management. Statistics. Quantitative Finance. Technical Skills: SQL, VBA or related tools are an advantage.Language Proficiency: Good command in both written and spoken English and Chinese (both Cantonese and Mandarin). Clear and concise written and verbal communication. Others:              Capability to process high volumes of complex and evolving information.           Internship Duration: 12 months. Internship Period:   07 / 2024 – 06 / 2025.About Us:  Incorporated in 1918, The Bank of East Asia, Limited (“BEA”) is a leading Hong Kong-based financial services group listed on The Stock Exchange of Hong Kong, with total consolidated assets of HK$884.4 billion (US$114.1 billion) as of 31st December, 2020.   BEA provides a comprehensive range of corporate banking, personal banking, wealth management, and investment services to customers throughout Greater China and beyond.   In Hong Kong, BEA maintains one of the largest retail networks of any bank, with full-service branches, SupremeGold Centers for high net-worth customers, and innovative, extended hour i-Financial Centres conveniently located throughout the city. "
7,FCAS Student Placement -Market & Liquidity Risk Management- Finance,The Bank of East Asia,Provide support to the team in market risk management. Participate in various market and liquidity risk projects.,02/03/2024,1800,"What You Will DoProvide support to the team in market risk management. Participate in various market and liquidity risk projects.After the program, candidate is expected to have below FinTech take-away:Value-at-risk models. Market risk management. Valuation models. Hands on knowledge of market well known risk or valuation systems (such as Bloomberg, Numerix, Murex, MSCI Risk Manager).Required Skills and AbilitiesEducation Background:Undergraduate students, or postgraduate students at one of the participating tertiary education institutions.Discipline Preferred:                Risk Management. Statistics. Quantitative Finance. Technical Skills: SQL, VBA or related tools are an advantage.Language Proficiency: Good command in both written and spoken English and Chinese (both Cantonese and Mandarin)Others:              Knowledge of the nature and exposure of financial products. Mature, able to work independently under pressure and cooperate well with teammates and business partners.                   Internship Duration: 12 months. Internship Period:   07 / 2024 – 06 / 2025.About Us:  Incorporated in 1918, The Bank of East Asia, Limited (“BEA”) is a leading Hong Kong-based financial services group listed on The Stock Exchange of Hong Kong, with total consolidated assets of HK$884.4 billion (US$114.1 billion) as of 31st December, 2020.   BEA provides a comprehensive range of corporate banking, personal banking, wealth management, and investment services to customers throughout Greater China and beyond.   In Hong Kong, BEA maintains one of the largest retail networks of any bank, with full-service branches, SupremeGold Centers for high net-worth customers, and innovative, extended hour i-Financial Centres conveniently located throughout the city. "
8,FCAS Student Placement - Fintech Development,The Bank of East Asia,"Comprehensive support in project implementation including Innovation strategies, Fintech capability enhancement, to provide high customer satisfaction and achieve top industry standards.",02/03/2024,1800,"What You Will DoComprehensive support in project implementation including Innovation strategies, Fintech capability enhancement, to provide high customer satisfaction and achieve top industry standards. Assist in various projects from initial conception, user requirement gathering, prototyping, system implementation, to UAT testing, and continuous improvement follow ups. System and prototypes development, proof of concept by applying advanced information technology Collaborate across internal functions and departments as well as external business partners to drive end-to-end change. Adhere to all applicable regulations, code of conduct, internal policies and procedures. Professional ethics and integrity of work is expected at all time.Required Skills and AbilitiesEducation Background: Undergraduate students, or postgraduate students at one of the participating tertiary education institutions.Discipline Preferred:                Strong awareness and passionate in latest technology for Banking and Finance. Quantitative and qualitative analytical skills. Knowledge in SDLC/ Agile Project Management and experience in Frontend UI Development.Technical Skills: Proficient in Microsoft Office. Coding capabilities such as Swift, React, Vue, etc.Language Proficiency: Good command in both written and spoken English and Chinese (both Cantonese and Mandarin).Others:     Self-motivated, detail oriented. Team player; self-motivated. Able to work under high pressure. Creative thinking and problem solving. Eager to learn.     Good presentation skills.           Internship Duration: 12 months. Internship Period:   06 / 2024 – 05 / 2025.About Us:  Incorporated in 1918, The Bank of East Asia, Limited (“BEA”) is a leading Hong Kong-based financial services group listed on The Stock Exchange of Hong Kong, with total consolidated assets of HK$884.4 billion (US$114.1 billion) as of 31st December, 2020.   BEA provides a comprehensive range of corporate banking, personal banking, wealth management, and investment services to customers throughout Greater China and beyond.   In Hong Kong, BEA maintains one of the largest retail networks of any bank, with full-service branches, SupremeGold Centers for high net-worth customers, and innovative, extended hour i-Financial Centres conveniently located throughout the city. "
9,FCAS Student Placement -Market & Liquidity Risk Management- Compliance,The Bank of East Asia,Provide support to the team in market risk management. Participate in various market and liquidity risk projects.,02/03/2024,1800,"What You Will DoProvide support to the team in market risk management. Participate in various market and liquidity risk projects.After the program, candidate is expected to have below FinTech take-away:Value-at-risk models. Market risk management. Valuation models. Hands on knowledge of market well known risk or valuation systems (such as Bloomberg, Numerix, Murex, MSCI Risk Manager).Required Skills and AbilitiesEducation Background:Undergraduate students, or postgraduate students at one of the participating tertiary education institutions.Discipline Preferred:                Risk Management. Statistics. Quantitative Finance. Technical Skills: SQL, VBA or related tools are an advantage.Language Proficiency: Good command in both written and spoken English and Chinese (both Cantonese and Mandarin)Others:              Knowledge of the nature and exposure of financial products. Mature, able to work independently under pressure and cooperate well with teammates and business partners.                   Internship Duration: 12 months. Internship Period:   07 / 2024 – 06 / 2025.About Us:  Incorporated in 1918, The Bank of East Asia, Limited (“BEA”) is a leading Hong Kong-based financial services group listed on The Stock Exchange of Hong Kong, with total consolidated assets of HK$884.4 billion (US$114.1 billion) as of 31st December, 2020.   BEA provides a comprehensive range of corporate banking, personal banking, wealth management, and investment services to customers throughout Greater China and beyond.   In Hong Kong, BEA maintains one of the largest retail networks of any bank, with full-service branches, SupremeGold Centers for high net-worth customers, and innovative, extended hour i-Financial Centres conveniently located throughout the city. "
