,Job Title,Company,Job Brief,Deadline Date,Deadline Time,Job Description
0,Castlery Global Graduate Program 2024 -Merchandizing Excellence- Retail,Castlery,"If you are a recent graduate (up to 3 years of working experience), passionate in global retail merchandizing excellence strategy and operations, and align with our mission in re-shaping the global furniture industry, this is the program designed for you!",02/03/2024,1800,"The ProgrammeIn partnership with Enterprise Singapore (ESG), Castlery is collaborating with the Singapore Global Executive Programme (SGEP) team and conscientiously designed this Merchandizing Excellence Global Graduate Program for aspiring all-rounded retail merchandizing leaders.  If you are a recent graduate (up to 3 years of working experience), passionate in global retail merchandizing excellence strategy and operations, and align with our mission in re-shaping the global furniture industry, this is the program designed for you!  The Singapore Global Executive Programme (SGEP) is an exclusive talent development programme developed by Enterprise Singapore in partnership with high-growth local companies that possess global ambitions to build a strong pipeline of young talent within their organizations.  Talent will get the chance to hone industry expertise in a structured way, while equipping themselves with in-market knowledge and global business insights to become a future-ready leader.  Castlery’s Global Graduate Program is part of the SGEP, in partnership with Enterprise Singapore and the program will commence on 10th June 2024.  What you can expect: Comprehensive rotations: 2-year program with at least 3 different rotations across product design and development functions, such as Design, Art Direction and Category Management teams. International assignments and learning trips to build your market exposure and global working experience. Get guidance and work directly with a team of passionate and top-tier professionals in the industry, who have first-hand experience of Castlery’s exponential growth. Participate and eventually take ownership in actual go-to-market product development. Receive mentorship from experienced leaders to guide your career and/or personal development. Structured training to develop your soft skills, technical skills and leadership skills. Competitive salary.Some examples of scope during your rotations:                                            Actively engage in all aspects of the product development process, from generating ideas and sourcing materials to overseeing production and conducting market analysis. Collaborate with the buying/sourcing team to identify, evaluate, and onboard manufacturing partners that align with our quality and ethical standards. Participate/Lead in negotiations with suppliers for favorable terms, costs, and agreements, ensuring optimal pricing and availability of products. Analyzing market trends, consumer behavior, and competitive landscapes to formulate effective category strategies.               Participate in assortment planning, working closely with suppliers and internal stakeholders to curate product selections that resonate with target audiences. Contribute to demand planning processes, including forecasting, inventory management, and replenishment strategies to maintain optimal stock levels. Engage in product performance analysis, identify opportunities, and recommend actionable insights to enhance category success. Collaborate with cross-functional teams such as marketing, sales, and operations to ensure seamless execution of merchandizing strategies.      Required Skills and AbilitiesPassion for retail and merchandizing excellence. Strong analytical thinking and skills, with customer centric mindset. Effective and structured communication skills. Strong negotiation and influencing skills. Excellent cross-functional project management skills. Proactive and creative problem solver. Cultural awareness & sensitivity. Leadership potential.About Us:  Starting in 2013, Castlery is a vertically integrated furniture brand.   Our mission is to redefine the boundaries of home elegance through creating designer furniture for the masses via a direct-to-consumer model.​   Currently, we are headquartered in Singapore, with offices in the United States, Australia and China, serving millions of global consumers.   As we continue to grow and expand our influence, we are dedicated to nurturing young talents and shaping them into the future leaders of our industry. "
1,Castlery Global Graduate Program 2024 - Product Design,Castlery,"If you are a recent graduate (up to 3 years of working experience), passionate in global retail merchandizing excellence strategy and operations, and align with our mission in re-shaping the global furniture industry, this is the program designed for you!",02/03/2024,1800,"The ProgrammeIn partnership with Enterprise Singapore (ESG), Castlery is collaborating with the Singapore Global Executive Programme (SGEP) team and conscientiously designed this Merchandizing Excellence Global Graduate Program for aspiring all-rounded retail merchandizing leaders.  If you are a recent graduate (up to 3 years of working experience), passionate in global retail merchandizing excellence strategy and operations, and align with our mission in re-shaping the global furniture industry, this is the program designed for you!  The Singapore Global Executive Programme (SGEP) is an exclusive talent development programme developed by Enterprise Singapore in partnership with high-growth local companies that possess global ambitions to build a strong pipeline of young talent within their organizations.  Talent will get the chance to hone industry expertise in a structured way, while equipping themselves with in-market knowledge and global business insights to become a future-ready leader.  Castlery’s Global Graduate Program is part of the SGEP, in partnership with Enterprise Singapore and the program will commence on 10th June 2024.  What you can expect: Comprehensive rotations: 2-year program with at least 3 different rotations across product design and development functions, such as Design, Art Direction and Category Management teams. International assignments and learning trips to build your market exposure and global working experience. Get guidance and work directly with a team of passionate and top-tier professionals in the industry, who have first-hand experience of Castlery’s exponential growth. Participate and eventually take ownership in actual go-to-market product development. Receive mentorship from experienced leaders to guide your career and/or personal development. Structured training to develop your soft skills, technical skills and leadership skills. Competitive salary.Some examples of scope during your rotations:                                            Collaborate with cross-functional teams to conceptualize, plan, and execute new product development initiatives that align with market demands and customer preferences. Contribute to the end-to-end product development lifecycle, from ideation and design to manufacturing and market launch.                                                                                   Participate in design reviews, providing constructive feedback to enhance product aesthetics, functionality, and marketability.                                                                      Collaborate with suppliers and manufacturers to oversee the production process, addressing technical challenges and ensuring product quality. Engage in consumer research and market analysis to identify trends, opportunities, and gaps in the product portfolio.                                                                                Assist in creating detailed product briefs, prototypes, and mock-ups, effectively communicating design ideas to internal and external stakeholders. Work closely with design and art direction teams to ensure consistent brand identity and visual storytelling across all products. Contribute to visual merchandising strategies and retail presentation to enhance product visibility and customer engagement. Required Skills and AbilitiesPassion for product development & design. Excellent design aptitude and creative vision to innovate.         Effective and structured communication skills. Strong analytical thinking and skills, with customer centric mindset. Excellent cross-functional project management skills. Technical competence – design software/ prototyping tools. Entrepreneurial spirit. About Us: Starting in 2013, Castlery is a vertically integrated furniture brand.   Our mission is to redefine the boundaries of home elegance through creating designer furniture for the masses via a direct-to-consumer model.​   Currently, we are headquartered in Singapore, with offices in the United States, Australia and China, serving millions of global consumers.   As we continue to grow and expand our influence, we are dedicated to nurturing young talents and shaping them into the future leaders of our industry. "
2,Castlery Global Graduate Program 2024 -Merchandizing Excellence- Operations,Castlery,"If you are a recent graduate (up to 3 years of working experience), passionate in global retail merchandizing excellence strategy and operations, and align with our mission in re-shaping the global furniture industry, this is the program designed for you!",02/03/2024,1800,"The ProgrammeIn partnership with Enterprise Singapore (ESG), Castlery is collaborating with the Singapore Global Executive Programme (SGEP) team and conscientiously designed this Merchandizing Excellence Global Graduate Program for aspiring all-rounded retail merchandizing leaders.  If you are a recent graduate (up to 3 years of working experience), passionate in global retail merchandizing excellence strategy and operations, and align with our mission in re-shaping the global furniture industry, this is the program designed for you!  The Singapore Global Executive Programme (SGEP) is an exclusive talent development programme developed by Enterprise Singapore in partnership with high-growth local companies that possess global ambitions to build a strong pipeline of young talent within their organizations.  Talent will get the chance to hone industry expertise in a structured way, while equipping themselves with in-market knowledge and global business insights to become a future-ready leader.  Castlery’s Global Graduate Program is part of the SGEP, in partnership with Enterprise Singapore and the program will commence on 10th June 2024.  What you can expect: Comprehensive rotations: 2-year program with at least 3 different rotations across product design and development functions, such as Design, Art Direction and Category Management teams. International assignments and learning trips to build your market exposure and global working experience. Get guidance and work directly with a team of passionate and top-tier professionals in the industry, who have first-hand experience of Castlery’s exponential growth. Participate and eventually take ownership in actual go-to-market product development. Receive mentorship from experienced leaders to guide your career and/or personal development. Structured training to develop your soft skills, technical skills and leadership skills. Competitive salary.Some examples of scope during your rotations:                                            Actively engage in all aspects of the product development process, from generating ideas and sourcing materials to overseeing production and conducting market analysis. Collaborate with the buying/sourcing team to identify, evaluate, and onboard manufacturing partners that align with our quality and ethical standards. Participate/Lead in negotiations with suppliers for favorable terms, costs, and agreements, ensuring optimal pricing and availability of products. Analyzing market trends, consumer behavior, and competitive landscapes to formulate effective category strategies.               Participate in assortment planning, working closely with suppliers and internal stakeholders to curate product selections that resonate with target audiences. Contribute to demand planning processes, including forecasting, inventory management, and replenishment strategies to maintain optimal stock levels. Engage in product performance analysis, identify opportunities, and recommend actionable insights to enhance category success. Collaborate with cross-functional teams such as marketing, sales, and operations to ensure seamless execution of merchandizing strategies.      Required Skills and AbilitiesPassion for retail and merchandizing excellence. Strong analytical thinking and skills, with customer centric mindset. Effective and structured communication skills. Strong negotiation and influencing skills. Excellent cross-functional project management skills. Proactive and creative problem solver. Cultural awareness & sensitivity. Leadership potential.About Us:  Starting in 2013, Castlery is a vertically integrated furniture brand.   Our mission is to redefine the boundaries of home elegance through creating designer furniture for the masses via a direct-to-consumer model.​   Currently, we are headquartered in Singapore, with offices in the United States, Australia and China, serving millions of global consumers.   As we continue to grow and expand our influence, we are dedicated to nurturing young talents and shaping them into the future leaders of our industry. "
3,Castlery Global Graduate Program 2024 -Merchandizing Excellence- Marketing,Castlery,"If you are a recent graduate (up to 3 years of working experience), passionate in global retail merchandizing excellence strategy and operations, and align with our mission in re-shaping the global furniture industry, this is the program designed for you!",02/03/2024,1800,"The ProgrammeIn partnership with Enterprise Singapore (ESG), Castlery is collaborating with the Singapore Global Executive Programme (SGEP) team and conscientiously designed this Merchandizing Excellence Global Graduate Program for aspiring all-rounded retail merchandizing leaders.  If you are a recent graduate (up to 3 years of working experience), passionate in global retail merchandizing excellence strategy and operations, and align with our mission in re-shaping the global furniture industry, this is the program designed for you!  The Singapore Global Executive Programme (SGEP) is an exclusive talent development programme developed by Enterprise Singapore in partnership with high-growth local companies that possess global ambitions to build a strong pipeline of young talent within their organizations.  Talent will get the chance to hone industry expertise in a structured way, while equipping themselves with in-market knowledge and global business insights to become a future-ready leader.  Castlery’s Global Graduate Program is part of the SGEP, in partnership with Enterprise Singapore and the program will commence on 10th June 2024.  What you can expect: Comprehensive rotations: 2-year program with at least 3 different rotations across product design and development functions, such as Design, Art Direction and Category Management teams. International assignments and learning trips to build your market exposure and global working experience. Get guidance and work directly with a team of passionate and top-tier professionals in the industry, who have first-hand experience of Castlery’s exponential growth. Participate and eventually take ownership in actual go-to-market product development. Receive mentorship from experienced leaders to guide your career and/or personal development. Structured training to develop your soft skills, technical skills and leadership skills. Competitive salary.Some examples of scope during your rotations:                                            Actively engage in all aspects of the product development process, from generating ideas and sourcing materials to overseeing production and conducting market analysis. Collaborate with the buying/sourcing team to identify, evaluate, and onboard manufacturing partners that align with our quality and ethical standards. Participate/Lead in negotiations with suppliers for favorable terms, costs, and agreements, ensuring optimal pricing and availability of products. Analyzing market trends, consumer behavior, and competitive landscapes to formulate effective category strategies.               Participate in assortment planning, working closely with suppliers and internal stakeholders to curate product selections that resonate with target audiences. Contribute to demand planning processes, including forecasting, inventory management, and replenishment strategies to maintain optimal stock levels. Engage in product performance analysis, identify opportunities, and recommend actionable insights to enhance category success. Collaborate with cross-functional teams such as marketing, sales, and operations to ensure seamless execution of merchandizing strategies.      Required Skills and AbilitiesPassion for retail and merchandizing excellence. Strong analytical thinking and skills, with customer centric mindset. Effective and structured communication skills. Strong negotiation and influencing skills. Excellent cross-functional project management skills. Proactive and creative problem solver. Cultural awareness & sensitivity. Leadership potential.About Us:  Starting in 2013, Castlery is a vertically integrated furniture brand.   Our mission is to redefine the boundaries of home elegance through creating designer furniture for the masses via a direct-to-consumer model.​   Currently, we are headquartered in Singapore, with offices in the United States, Australia and China, serving millions of global consumers.   As we continue to grow and expand our influence, we are dedicated to nurturing young talents and shaping them into the future leaders of our industry. "
4,Castlery Global Graduate Program 2024 - Product Design - Marketing,Castlery,"If you are a recent graduate (up to 3 years of working experience), passionate in global retail merchandizing excellence strategy and operations, and align with our mission in re-shaping the global furniture industry, this is the program designed for you!",02/03/2024,1800,"The ProgrammeIn partnership with Enterprise Singapore (ESG), Castlery is collaborating with the Singapore Global Executive Programme (SGEP) team and conscientiously designed this Merchandizing Excellence Global Graduate Program for aspiring all-rounded retail merchandizing leaders.  If you are a recent graduate (up to 3 years of working experience), passionate in global retail merchandizing excellence strategy and operations, and align with our mission in re-shaping the global furniture industry, this is the program designed for you!  The Singapore Global Executive Programme (SGEP) is an exclusive talent development programme developed by Enterprise Singapore in partnership with high-growth local companies that possess global ambitions to build a strong pipeline of young talent within their organizations.  Talent will get the chance to hone industry expertise in a structured way, while equipping themselves with in-market knowledge and global business insights to become a future-ready leader.  Castlery’s Global Graduate Program is part of the SGEP, in partnership with Enterprise Singapore and the program will commence on 10th June 2024.  What you can expect: Comprehensive rotations: 2-year program with at least 3 different rotations across product design and development functions, such as Design, Art Direction and Category Management teams. International assignments and learning trips to build your market exposure and global working experience. Get guidance and work directly with a team of passionate and top-tier professionals in the industry, who have first-hand experience of Castlery’s exponential growth. Participate and eventually take ownership in actual go-to-market product development. Receive mentorship from experienced leaders to guide your career and/or personal development. Structured training to develop your soft skills, technical skills and leadership skills. Competitive salary.Some examples of scope during your rotations:                                            Collaborate with cross-functional teams to conceptualize, plan, and execute new product development initiatives that align with market demands and customer preferences. Contribute to the end-to-end product development lifecycle, from ideation and design to manufacturing and market launch.                                                                                   Participate in design reviews, providing constructive feedback to enhance product aesthetics, functionality, and marketability.                                                                      Collaborate with suppliers and manufacturers to oversee the production process, addressing technical challenges and ensuring product quality. Engage in consumer research and market analysis to identify trends, opportunities, and gaps in the product portfolio.                                                                                Assist in creating detailed product briefs, prototypes, and mock-ups, effectively communicating design ideas to internal and external stakeholders. Work closely with design and art direction teams to ensure consistent brand identity and visual storytelling across all products. Contribute to visual merchandising strategies and retail presentation to enhance product visibility and customer engagement. Required Skills and AbilitiesPassion for product development & design. Excellent design aptitude and creative vision to innovate.         Effective and structured communication skills. Strong analytical thinking and skills, with customer centric mindset. Excellent cross-functional project management skills. Technical competence – design software/ prototyping tools. Entrepreneurial spirit. About Us: Starting in 2013, Castlery is a vertically integrated furniture brand.   Our mission is to redefine the boundaries of home elegance through creating designer furniture for the masses via a direct-to-consumer model.​   Currently, we are headquartered in Singapore, with offices in the United States, Australia and China, serving millions of global consumers.   As we continue to grow and expand our influence, we are dedicated to nurturing young talents and shaping them into the future leaders of our industry. "
5,Castlery Global Graduate Program 2024 -Merchandizing Excellence- Procurement,Castlery,"If you are a recent graduate (up to 3 years of working experience), passionate in global retail merchandizing excellence strategy and operations, and align with our mission in re-shaping the global furniture industry, this is the program designed for you!",02/03/2024,1800,"The ProgrammeIn partnership with Enterprise Singapore (ESG), Castlery is collaborating with the Singapore Global Executive Programme (SGEP) team and conscientiously designed this Merchandizing Excellence Global Graduate Program for aspiring all-rounded retail merchandizing leaders.  If you are a recent graduate (up to 3 years of working experience), passionate in global retail merchandizing excellence strategy and operations, and align with our mission in re-shaping the global furniture industry, this is the program designed for you!  The Singapore Global Executive Programme (SGEP) is an exclusive talent development programme developed by Enterprise Singapore in partnership with high-growth local companies that possess global ambitions to build a strong pipeline of young talent within their organizations.  Talent will get the chance to hone industry expertise in a structured way, while equipping themselves with in-market knowledge and global business insights to become a future-ready leader.  Castlery’s Global Graduate Program is part of the SGEP, in partnership with Enterprise Singapore and the program will commence on 10th June 2024.  What you can expect: Comprehensive rotations: 2-year program with at least 3 different rotations across product design and development functions, such as Design, Art Direction and Category Management teams. International assignments and learning trips to build your market exposure and global working experience. Get guidance and work directly with a team of passionate and top-tier professionals in the industry, who have first-hand experience of Castlery’s exponential growth. Participate and eventually take ownership in actual go-to-market product development. Receive mentorship from experienced leaders to guide your career and/or personal development. Structured training to develop your soft skills, technical skills and leadership skills. Competitive salary.Some examples of scope during your rotations:                                            Actively engage in all aspects of the product development process, from generating ideas and sourcing materials to overseeing production and conducting market analysis. Collaborate with the buying/sourcing team to identify, evaluate, and onboard manufacturing partners that align with our quality and ethical standards. Participate/Lead in negotiations with suppliers for favorable terms, costs, and agreements, ensuring optimal pricing and availability of products. Analyzing market trends, consumer behavior, and competitive landscapes to formulate effective category strategies.               Participate in assortment planning, working closely with suppliers and internal stakeholders to curate product selections that resonate with target audiences. Contribute to demand planning processes, including forecasting, inventory management, and replenishment strategies to maintain optimal stock levels. Engage in product performance analysis, identify opportunities, and recommend actionable insights to enhance category success. Collaborate with cross-functional teams such as marketing, sales, and operations to ensure seamless execution of merchandizing strategies.      Required Skills and AbilitiesPassion for retail and merchandizing excellence. Strong analytical thinking and skills, with customer centric mindset. Effective and structured communication skills. Strong negotiation and influencing skills. Excellent cross-functional project management skills. Proactive and creative problem solver. Cultural awareness & sensitivity. Leadership potential.About Us:  Starting in 2013, Castlery is a vertically integrated furniture brand.   Our mission is to redefine the boundaries of home elegance through creating designer furniture for the masses via a direct-to-consumer model.​   Currently, we are headquartered in Singapore, with offices in the United States, Australia and China, serving millions of global consumers.   As we continue to grow and expand our influence, we are dedicated to nurturing young talents and shaping them into the future leaders of our industry. "
6,Marsh McLennan – Virtual Open House!,Marsh McLennan,"Marsh is thrilled to invite you to our Virtual Open House, where you'll have the opportunity to learn more about our Early Career &amp; Graduate Program and discover the exciting opportunities that await you at Marsh.",26/02/2024,1559,"Marsh is thrilled to invite you to our Virtual Open House, where you'll have the opportunity to learn more about our Early Career & Graduate Program and discover the exciting opportunities that await you at Marsh.During this interactive session, you'll get a chance to:Gain insights into our award-winning program and development opportunities.Hear from current program participants about their experiences and career growth.Connect with our talented professionals and ask questions about our program.Learn about the diverse range of roles and career paths available at Marsh. "
7,Graduate Project Engineer - Water,Jacobs,"Assisting Project Manager(s) on multiple water projects, mainly major drainage infrastructure projects, large transmission pipelines and coastal adaptation studies. Taking instructions from PMs and make correspondence with various statutory authorities and utility agencies.",23/02/2024,1800,"The ProgrammeJacobs would like to welcome a Graduate Project Engineer to join our Water business in Singapore.  You will have unlimited opportunities to work on multiple water projects across Singapore. Main responsibilities:  Assisting Project Manager(s) on multiple water projects, mainly major drainage infrastructure projects, large transmission pipelines and coastal adaptation studies. Taking instructions from PMs and make correspondence with various statutory authorities and utility agencies. Prepare draft meeting minutes. Together with Subject Matter Experts (SMEs) carry out hydraulic calculations (storm water modelling and pressure pipes). Occasionally carry out site supervision for site investigation works, pipe laying works as required by the Project Manager. Prepare tender specifications and other deliverables, taking guidance from the Project Manager. Archiving the project communication and data in server as needed.Required Skills and AbilitiesTo be a successful candidate you shall possess:  Degree in Civil Engineering, from a university recognized by BCA or Singapore PEB.  Fresh graduates are welcome to apply. Ability to read engineering drawings,  Genuine interest in water conveyance (transmission pipes and flood alleviation) and coastal protection projects. Possess basic navigational skills to use CAD software (MicroStation, AutoCAD). Self-driven and able to work in a team. Excellent communication and writing skills in English. A positive and proactive mindset to learn new tasks and willingness to advance in their career.About Us:  At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.   With $14 billion in revenue and a talent force of approximately 55,000, Jacobs provides a full spectrum of professional services including consulting, technical, scientific and project delivery for the government and private sector. "
8,Graduate Hire 2024 - Product Designer,OKX Singapore,"OKX will be prioritising applicants who have a current right to work in Singapore, and do not require OKX's sponsorship of a visa.",29/02/2024,1559,"OKX will be prioritising applicants who have a current right to work in Singapore, and do not require OKX's sponsorship of a visa.About OKXAt OKX, we believe our future is reshaped with technology. Founded in 2017, OKX is one of the world’s leading cryptocurrency spot and derivatives exchanges. OKX innovatively adopted blockchain technology to reshape the financial ecosystem by offering some of the most diverse and sophisticated products, solutions, and trading tools on the market. Trusted by more than 50 million users in over 180 regions globally, OKX strives to provide an engaging platform that empowers every individual to explore the world of crypto. In addition to its world-class DeFi exchange, OKX serves its users with OKX Insights, a research arm that is at the cutting edge of the latest trends in the cryptocurrency industry. With its extensive range of crypto products and services, and unwavering commitment to innovation, OKX's vision is a world of financial access backed by blockchain and the power of decentralized finance.We invest in our people as much as we invest in technology. We are united by our engaging culture, here we win as a team, embrace changes, and do the right thing. We are committed to creating a friendly, rewarding and diverse environment for OKers. It doesn’t matter where you come from, here everyone feels valued, respected and has the same opportunities to develop and thrive — we want to bring out the best in you.About OKX Graduate Program (Supernova)The Supernova Program is a 3-year Career Accelerator Program that aims to fast-track young, high-performing graduates into technical experts and future leaders mainly in the fields of Product Engineering. We firmly believe in the youthful power of the new era. Join us to achieve your narrative around crypto. As a graduate Product Designer, you will build and maintain the core OKX app with millions of daily active users. You will work cross-functionally with product management, and other engineering teams to identify customer needs, and ship high-quality new features through fast iterations. This is an opportunity to learn the full life cycle of crypto mobile applications including pro/retail trading, asset management, and wallet.Responsibilities:Understand the user needs and business goals, transform general initiatives from executives into actionable product plans when generating new ideas and conceptsGenerate product roadmaps and secure consensus from stakeholders on scope and deliverable timelinesCreate wireframes, user journeys and user flows, to communicate interaction and design ideas effectivelyCollaborate with product management and engineering to create and implement innovative solutionsEstablish and promote design systems and guidelines, best practices and standards in design systemRequirements:Bachelor in user experience design, interaction design or other design disciplines focusing on UI/UX designFamiliar with Scenario Based Design and Goal-Directed Design. Also prototyping tools such as Figma and SketchKnowledge of UX and design principles, and familiarity with user habits and aesthetic attitudes of international customersFluent in English, good communication, teamwork and eager to learnCandidates MUST submit a portfolio to showcase UI/UX past workNice to Have:Relevant internship experience, preferably with a renowned technology or fintech companyPerks and Benefits:Competitive total compensation packageL&D programs and Education subsidy for employees' growth and developmentVarious team building programs and company eventsWellness and meal allowancesComprehensive healthcare schemes for employees and dependantsMore that we love to tell you along the process!"
9,Graduate Hire 2024 - Product Manager,OKX Singapore,"OKX will be prioritising applicants who have a current right to work in Singapore, and do not require OKX's sponsorship of a visa.",29/02/2024,1559,"OKX will be prioritising applicants who have a current right to work in Singapore, and do not require OKX's sponsorship of a visa.About OKXAt OKX, we believe our future is reshaped with technology. Founded in 2017, OKX is one of the world’s leading cryptocurrency spot and derivatives exchanges. OKX innovatively adopted blockchain technology to reshape the financial ecosystem by offering some of the most diverse and sophisticated products, solutions, and trading tools on the market. Trusted by more than 50 million users in over 180 regions globally, OKX strives to provide an engaging platform that empowers every individual to explore the world of crypto. In addition to its world-class DeFi exchange, OKX serves its users with OKX Insights, a research arm that is at the cutting edge of the latest trends in the cryptocurrency industry. With its extensive range of crypto products and services, and unwavering commitment to innovation, OKX vision is a world of financial access backed by blockchain and the power of decentralized finance.We invest in our people as much as we invest in technology. We are united by our engaging culture, here we win as a team, embrace changes, and do the right thing. We are committed to creating a friendly, rewarding and diverse environment for OKers. It doesn’t matter where you come from, here everyone feels valued, respected and has the same opportunities to develop and thrive — we want to bring out the best in you.About OKX Graduate Program (Supernova)The Supernova Program is a 3-year career accelerator program that aims to fast-track young, high-performing graduates into technical experts and future leaders mainly in the fields of Product Engineering, Product Management, and Product Design. We firmly believe in the youthful power of the new era. Join us to achieve your narrative around crypto. As a graduate Product Manager,you will build and maintain the core OKX app with millions of daily active users. You will work cross-functionally with design, product, and other engineering teams to identify customer needs, and ship high-quality new features through fast iterationsWhat You’ll Be DoingResponsible for the requirement research and product design, collecting user suggestions and developing solutionsDiscover and identify business trends and new industry demands, design financial product functions, output prototypes and PRDs from start to launchImprove and optimize product competitiveness and user experience through data analysis, competitor research and other meansCollaborate closely with cross-functions - R&D, Engineering, Marketing, Operations, and Business Development teams, to ensure the teams understand the product fully to enable successful product launch/improvementsRequirements:Bachelors of related disciplines, or self-taught enthusiastsStrong ability to think logically, work in a team and communicate effectively. Also competent to organize and coordinate resources to solve problems and achieve goals in collaboration with different departmentsExcited with a keen interest in blockchain technology, Web3 and the financial industryBe proactive, enthusiastic, and take up a product owner mindsetNice to Have:Product manager internship experience, preferably from a renowned technology or fintech companyInvestment experience in a certain digital currency direction Perks and Benefits:Competitive total compensation packageL&D programs and Education subsidy for employees' growth and developmentVarious team building programs and company eventsWellness and meal allowancesComprehensive healthcare schemes for employees and dependantsMore that we love to tell you along the process!"
