Job Title,Company,Job Brief,Deadline Date,Job Description
Entry-level Consultant,Oliver Wyman Australia & New Zealand,"Join our global, entrepreneurial team as a Consultant and you'll do meaningful work from day one.",8 Mar 2024,"Why join us?
Come aboard if you are excited by challenges and at ease working across cultures. You'll find interesting people who speak their minds and measure success not by how many hours are worked but by what gets accomplished.
Immediate impact, continuous challenge
You'll work on challenging projects that have had a significant impact on clients, industries, and societies from day one.
We'll ask you to challenge the norm and constantly strive to build something new to shape our firm and the world around us.
You'll be a contributing team member from the start, working with senior colleagues and clients to build trust-based relationships and deliver breakthrough impact.
Your experience will be diverse, with each project offering new opportunities to expand your toolkit and to team with Specialists who have deep subject matter and technical expertise
You'll have the chance to travel frequently; whether this is internationally or in your home city, no two weeks are ever the same.
Chart your course; we support the journey
This isn't a ""two-year program""—no  artificial barriers stand in the way of your progression.
You'll have the opportunity to work across a wide variety of industries and capabilities and you can decide to specialize early or leave it until several years in.
You'll learn on the job via our apprenticeship model, supplemented by formal training. Much of your initial focus will be on research and analysis, and we'll support you in rapidly developing your communication, presentation, and client-management skills.
We care about you succeeding and you'll be supported every step of the way. You will be mentored and coached by colleagues at each stage, from partners and other consultants to a dedicated ""buddy,"" career adviser, and talent manager.
We believe inspired people with interesting lives make better consultants. We care deeply about sustainable work-life quality and provide career flexibility with a variety of programs including sabbaticals, non-profit fellowships, and externships.
We hire you to be you
Our open, inclusive, and down-to-earth culture will enable you to bring your authentic self to work.
There's no corporate mould to fit and hierarchy doesn't get in the way.
Many of your colleagues will become life-long friends."
Graduate Financial Planner,Future Insure Graduate Program,Finished your degree and not sure what to do next? Have a competitive nature and analytical mind? Pursue a career in the Finance Industry!,18 Dec 2024,"Wondering where the Future Insure Graduate Program could take you in your career? Attend one of our Graduate Information Sessions to find out! Head to the events tab (either on the left-hand menu or the menu above this description) and save your spot. We hope to see you there!
Finished your degree and not sure what to do next? Looking for the first step in your career? Why not consider it one of the largest industries within Australia! Insurance! The insurance industry is one of the most varied, rewarding, and exciting industry sectors for any graduate.
We are looking for recent graduates to place with a business that matches your career aspirations, skill set and personality and progress with a career in financial planning!  
The multi-award-nominated Future Insure Graduate Program connects recent graduates with multiple market-leading insurance businesses across Australia. Over the last four years, the Future Insure Graduate Program has helped over 150 graduates secure their first role in the industry!
About the role:
Progress from client service officer/ associate adviser through to a Certified financial planner (CFP)
Working with Financial planners to design wealth accumulation strategies for your clients
Implantation of strategies
Utilising software such as X plan and Coin
Continuous training of industry standards
Working with paraplanners to design a statement of advice (SOA)
Benefits: 
Competitive salary
A structured learning program including job rotations and participation in projects
Career path mapping and opportunities for progression within the industry and your organisation
Access to industry networking events
Industry qualifications paid for by your employer
The opportunity to work alongside senior professionals
A dedicated mentor and support buddy
What do you need?
Full Australian working rights
Degree qualification or higher within the past 3 years
Achieved a credit average (65%) or higher
Excellent communication and relationship-building skills
Exceptional customer service skills
High attention to detail
Strong team-based orientation and ability
What's the application process?
Application - Please include your CV.
One-way video interview - You'll receive an email with a link for a one-way video interview, in the same email, you'll receive a link for a short questionnaire that will help us get to know you better. You'll also need to complete the Fuse Recruitment registration form.
Interview with Fuse - Our graduate talent recruiter will contact you about your application and meet you for either a face-to-face or virtual interview, depending on  your location.
Interview with your preferred Program Partner/s - Meet with your preferred companies either face-to-face or virtually.
Time to start your new role!
The financial services industry holds enormous opportunities for graduates and could see you working in a wide range of exciting and fast-paced roles. There is lots of room for growth within the industry, with lucrative benefits in the near future. 
APPLY NOW and take charge of your future in one of the largest industries in Australia!"
Finance Graduate,Future Insure Graduate Program,Finished your degree and not sure what to do next? Have a competitive nature and analytical mind? Pursue a career in the Finance Industry!,18 Dec 2024,"Wondering where the Future Insure Graduate Program could take you in your career? Attend one of our Graduate Information Sessions to find out! Head to the events tab (either on the left-hand menu or the menu above this description) and save your spot. We hope to see you there!
Finished your degree and not sure what to do next? Looking for the first step in your career? Why not consider one of the largest industries within Australia! Finance and Wealth! The Finance industry is one of the most varied, rewarding, and exciting industry sectors for any graduate.
We are looking for recent graduates to place with a business that matches your career aspirations, skill set and personality and progress with a career in Finance!  
The multi-award-nominated Future Insure Graduate Program connects recent graduates with multiple market-leading financial services businesses across Australia. Over the last 4 years, the Future Insure Graduate Program has helped over 100 graduates secure their first role in the industry. 
About the role:
Varied and exciting entry-level roles across the financial sector
Work alongside industry professionals and gain firsthand experience from the best in the industry
Career progression to roles in Financial Planning, Mortgage Broking and across the wealth management sector
Roles available across major cities
Benefits: 
Competitive salary
A structured learning program including job rotations and participation in projects
Career path mapping and opportunities for progression within the industry and your organisation
Access to industry networking events
Industry qualifications paid for by your employer
The opportunity to work alongside senior professionals
A dedicated mentor and support buddy
What do you need?
Full Australian working rights
Degree qualification or higher within the past 3 years
Achieved a credit average (65%) or higher
Excellent communication and relationship-building skills
Exceptional customer service skills
High attention to detail
Strong team-based orientation and ability
What's the application process?
Application - Please include your CV.
One-way video interview - You'll receive an email with a link for a one-way video interview, in the same email, you'll receive a link for a short questionnaire that will help us get to know you better. You'll also need to complete the Fuse Recruitment registration form.
Interview with Fuse - Our graduate talent recruiter will contact you about your application and meet you for either a face-to-face or virtual interview, depending on  your location.
Interview with your preferred Program Partner/s - Meet with your preferred companies either face-to-face or virtually.
Time to start your new role!
The financial services industry holds enormous opportunities for graduates and could see you working in a wide range of exciting and fast-paced roles. There is lots of room for growth within the industry, with lucrative benefits in the near future. 
APPLY NOW and take charge of your future in one of the largest industries in Australia!"
Insurance Graduate,Future Insure Graduate Program,Finished your degree and not sure what to do next? Why not consider one of the largest industries within Australia! Insurance!,18 Dec 2024,"Wondering where the Future Insure Graduate Program could take you in your career? Attend one of our Graduate Information Sessions to find out! Head to the events tab (either on the left-hand menu or the menu above this description) and save your spot. We hope to see you there!
Finished your degree and not sure what to do next? Looking for the first step in your career? Why not consider it one of the largest industries within Australia! Insurance! The insurance industry is one of the most varied, rewarding, and exciting industry sectors for any graduate.
Whether it's in insurance broking, claims, or underwriting, we are looking for recent graduates to place with a business that matches your career aspirations, skill set and personality.
The multi-award-nominated Future Insure Graduate Program connects recent graduates with multiple market-leading insurance businesses across Australia. Over the last four years, the Future Insure Graduate Program has helped over 150 graduates secure their first role in the industry!
About the program:
Exposure to a range of insurance sectors including general insurance, life insurance, broking, underwriting, loss adjusting, claims and service providers.
Meet with multiple employers to choose an organisation aligned with your career goals
Networking opportunities as part of our graduate community, with free events hosted by Future Insure throughout the year
Continuous support from the Future Ensure team, both before and after placement
Benefits: 
Competitive salary
A structured learning program including job rotations and participation in projects
Career path mapping and opportunities for progression within the industry and your organisation
Access to industry networking events
Industry qualifications paid for by your employer
The opportunity to work alongside senior professionals
A dedicated mentor and support buddy
What do you need?
Full Australian working rights
Degree qualification or higher within the past 3 years
Achieved a credit average (65%) or higher
Excellent communication and relationship-building skills
Exceptional customer service skills
High attention to detail
Strong team-based orientation and ability
What's the application process?
Application - Please include your CV.
One-way video interview - You'll receive an email with a link for a one-way video interview, in the same email, you'll receive a link for a short questionnaire that will help us get to know you better. You'll also need to complete the Fuse Recruitment registration form.
Interview with Fuse - Our graduate talent recruiter will contact you about your application and meet you for either a face-to-face or virtual interview, depending on  your location.
Interview with your preferred Program Partner/s - Meet with your preferred companies either face-to-face or virtually.
Time to start your new role!
We have multiple roles available in the insurance industry starting at various times throughout 2023! An $8.3Trillion global industry, insurance is fundamental to life as we know it and a critical element to securing our economic and social future and there’s a job waiting there just for you!
APPLY NOW and take charge of your future in one of the largest industries in Australia!"
Graduate Mortgage Broker,Future Insure Graduate Program,Finished your degree and not sure what to do next? Have a competitive nature and analytical mind? Pursue a career in the Finance Industry!,18 Dec 2024,"Finished your degree and not sure what to do next? Looking for the first step in your career? Why not consider it one of the largest industries within Australia! Insurance! The insurance industry is one of the most varied, rewarding, and exciting industry sectors for any graduate.
We are looking for recent graduates to place with a business that matches your career aspirations, skill set and personality and progress with a career mortgage broking!  
The multi-award-nominated Future Insure Graduate Program connects recent graduates with multiple market-leading insurance businesses across Australia. Over the last four years, the Future Insure Graduate Program has helped over 150 graduates secure their first role in the industry!
About the role:
Understanding loan packaging for residential, commercial and plant and equipment
Learning and working through an aggregator system with your company
Analysing credit and financial statements
Directly working with mortgage brokers and lenders
Progress from loan processing to a qualified mortgage broker
Benefits: 
Competitive salary
A structured learning program including job rotations and participation in projects
Career path mapping and opportunities for progression within the industry and your organisation
Access to industry networking events
Industry qualifications paid for by your employer
The opportunity to work alongside senior professionals
A dedicated mentor and support buddy
What do you need?
Full Australian working rights
Degree qualification or higher within the past 3 years
Achieved a credit average (65%) or higher
Excellent communication and relationship-building skills
Exceptional customer service skills
High attention to detail
Strong team-based orientation and ability
What's the application process?
Application - Please include your CV.
One-way video interview - You'll receive an email with a link for a one-way video interview, in the same email, you'll receive a link for a short questionnaire that will help us get to know you better. You'll also need to complete the Fuse Recruitment registration form.
Interview with Fuse - Our graduate talent recruiter will contact you about your application and meet you for either a face-to-face or virtual interview, depending on  your location.
Interview with your preferred Program Partner/s - Meet with your preferred companies either face-to-face or virtually.
Time to start your new role!
The financial services industry holds enormous opportunities for graduates and could see you working in a wide range of exciting and fast-paced roles. There is lots of room for growth within the industry, with lucrative benefits in the near future. 
APPLY NOW and take charge of your future in one of the largest industries in Australia!"
Digital Graduate Program,Queensland Government Digital Graduate Program,Help create change and influence a strong digital economy by transforming how we deliver government services to Queenslanders.,31 Jul 2024,"About you
We need graduates with a willingness to learn and a good attitude. Our graduates contribute greatly to the Queensland Government, we really don't know what we would do without you! Our graduates contribute to projects, programs, initiatives and ongoing business that keeps Queensland communities safe, healthy, happy and prospering.
We welcome candidates from all disciplines with a Bachelor's, Graduate Certificate or master in one of the following areas degrees in:
Information technology, cloud computing, cyber security, computer science, data analytics, robotics, telecommunications, information management, mathematics
Business, marketing, procurement
Project management, law, creative industries
Web and multimedia design, user experience design.
Remuneration and career growth
As a Digital graduate, you will receive the benefits of working for the Queensland Government which include:
a starting salary of $68,414 per annum
up to 12.75% employer superannuation contribution
17.5% annual leave loading
flexible work arrangements
generous leave entitlements
salary packaging options
a diverse and inclusive workplace
programs that support a healthy work environment
a structured two-year leadership development program
opportunities for mentoring, networking and career progression.
Career progression
Our grads travel up the ladder so fast we have to stand back for fear of being run over! 87% of our grads completing our program stay on to be employed by the Queensland Government post-program.
Our grads on average leap up to $22k or more within the 2-year program or after completing the 2-year program.
“Thanks so much for this program – it opened up a door I didn’t expect or know existed and started a career I’m very happy with."" 
Kurtis - 2022 Health graduate, secured an A05 Project Officer role within 12 months on the program.
What you’ll be doing
Well, that depends on where you land in the Queensland Government. We have quite a few agencies participating in the program. You could get an offer for employment from one or a few departments. 
You will have a range of opportunities to work on and as you will be joining Queensland’s largest employer the opportunities to travel, grow and move up the ladder are endless.
Eligible and who can apply?
The Queensland Government is a proud employer of a diverse range of people. We need people from all walks of life to create a vibrant, diverse workplace and ultimately make our work shine. 
We encourage women, people with disability, Aboriginal and Torres Strait Islander peoples, the LGBTIQA+ community, people from culturally and linguistically diverse backgrounds, and mature-age Queenslanders to apply. 
It’s not just technical IT, we’re looking for graduates in all aspects of IT development, customer service, design, and delivery of services to Queenslanders.
The program is pleased to announce that applications will open to include international students living in Australia who have unrestricted working rights under the Commonwealth Law. 

To be eligible for our program, you need to have graduated mid-2024 or by December 2024, or your qualifications are no older than three (3) years old and we are seeking your specific qualifications, we want you! 
If you have overseas qualifications, you will need to seek to have them recognised in Australia prior to applying. 
Check internationaleducation.gov.au/services-and-resources/pages/qualifications-recognition.aspx to view the process.
You need to have completed a bachelor's degree in IT or a related field within the last 3 years or will finish by mid to end 2024 to be eligible for the start of the program in March 2025 or sooner if requested by agency.
Interstate applicants should be made aware that positions offered are within Queensland Government, therefore relocation to Brisbane is mandatory. Interstate applicants are encouraged to apply, however, it is up to the successful graduate to arrange relocation and cover any moving costs involved. It is not the responsibility of the program, nor the home agency for graduate relocation. 
You must be available to start work by March 2025 or sooner if requested by the agency. "
Graduate Insurance Underwriter,Future Insure Graduate Program,Finished your degree and not sure what to do next? Considered one of the largest industries within Australia? Become an Insurance Underwriter today!,18 Dec 2024,"Wondering where the Future Insure Graduate Program could take you in your career? Attend one of our Graduate Information Sessions to find out! Head to the events tab (either on the left-hand menu or the menu above this description) and save your spot. We hope to see you there!
Finished your degree and not sure what to do next? Looking for the first step in your career? Why not consider one of the largest industries within Australia! Insurance! The insurance industry is one of the most varied, rewarding, and exciting industry sectors for any graduate.
We are looking for recent graduates to place with a business that matches your career aspirations, skill set and personality and progress with a career in Insurance Underwriting! 
The multi-award-nominated Future Insure Graduate Program connects recent graduates with multiple market-leading insurance businesses across Australia. Over the last four years, the Future Insure Graduate Program has helped over 150 graduates secure their first role in the industry!
About the role:
Working alongside underwriters, learn about different insurances and how they benefit businesses
Assisting underwriters in assessing risk
Liaising with the underwriters to get multiple quotes
Speaking to companies to identify risks and give advice on what insurance policies they’d need
Go through your Tier 1 in general insurance. Progress through to owning your own portfolio of clients where you’re the go-to person rather than assisting another underwriter.
Benefits: 
Competitive salary
A structured learning program including job rotations and participation in projects
Career path mapping and opportunities for progression within the industry and your organisation
Access to industry networking events
Industry qualifications paid for by your employer
The opportunity to work alongside senior professionals
A dedicated mentor and support buddy
What do you need?
Full Australian working rights
Degree qualification or higher within the past 3 years
Achieved a credit average (65%) or higher
Excellent communication and relationship-building skills
Exceptional customer service skills
High attention to detail
Strong team-based orientation and ability
What's the application process?
Application - Please include your CV.
One-way video interview - You'll receive an email with a link for a one-way video interview, in the same email, you'll receive a link for a short questionnaire that will help us get to know you better. You'll also need to complete the Fuse Recruitment registration form.
Interview with Fuse - Our graduate talent recruiter will contact you about your application and meet you for either a face-to-face or virtual interview, depending on  your location.
Interview with your preferred Program Partner/s - Meet with your preferred companies either face-to-face or virtually.
Time to start your new role!
We have multiple roles available in the insurance industry starting at various times throughout 2022! An $8.3Trillion global industry, insurance is fundamental to life as we know it and a critical element to securing our economic and social future and there’s a job waiting there just for you!
APPLY NOW and take charge of your future in one of the largest industries in Australia!"
Policy Officer Graduate Program,Policy Futures Graduate Program (Queensland Government),Join our award-winning 2-year graduate program and discover where a career in public policy could take you.,11 Apr 2024,"As a Policy Futures graduate, you'll get to explore a wide range of opportunities to find your purpose, unleash your potential and create a better Queensland.
You'll rotate across Queensland Government, gaining exposure to diverse and complex policy environments where you will be free to explore your interests and learn from experts in the field.
Your work can impact how health, education, transport, infrastructure, police and emergency services impact and benefit Queenslanders.
Why join us?
Great employee benefits - Competitive pay, 12.75% superannuation and flexible work arrangements, generous leave entitlements, salary packaging options and more!
Unique and diverse career opportunities - Explore your interests. Follow your passion. The career possibilities are endless. Your work can impact how health, education, transport, infrastructure, police and emergency services impact and benefit Queenslanders.
Inclusion for all - As the state's largest employer, we are committed to building an inclusive and diverse workforce that reflects the community we serve. We're looking for graduates with a range of skills, backgrounds and lived experiences.
Opportunities for you to develop and grow - Throughout the program, you will participate in a structured learning and development program, ensuring you have the skills and tools to tackle any policy issue that gets thrown your way. Our program builds the future of policy leaders of Queensland.
Who we're looking for
We're looking for graduates with a genuine desire to make a difference in Queensland.
The policy is a diverse field that requires input from all degrees and disciplines. Whatever you studied⁠—from law to economics, creative industries to social work⁠—your skills and experience will be valued.
Some of our past graduates have backgrounds in counter-terrorism, mathematics, social sciences, law, public health and economics, just to name a few.
We would love to hear from you if you:
are a collaborative team player
have strong communication skills
are passionate about our community
are adaptable and resilient
have a passion for learning and a desire to continuously improve.
Career pathways
As the state's largest employer, we are committed to building an inclusive and diverse workforce that reflects the community we serve, and where everyone feels safe, respected and included.
Our recruitment process is inclusive and aims to provide all candidates with the best opportunity to demonstrate suitability for the program. We offer career pathways for First Nation candidates and candidates with a disability.
Next steps
To find out more about this exciting opportunity and apply for the 2025 Policy Futures Graduate Program, pre-register now! Applications close Tuesday 11 April 2024."
Policy Officer Graduate Program (First Nations),Policy Futures Graduate Program (Queensland Government),Multiple positions for our 2025 intake have been allocated for graduates from First Nations communities.,11 Apr 2024,"First Nations Career Pathway
This role is being advertised through a targeted recruitment process and s105 of the Anti-Discrimination Act (1991) is currently only open to Aboriginal and Torres Strait Islander people.
As the state's largest employer, we are committed to building an inclusive and diverse workforce that reflects the community we serve, and where everyone feels safe, respected and included.
Building a more skilled and diverse workforce is a key part of Queensland's Moving Ahead strategy to improve economic participation outcomes for Aboriginal and Torres Strait Islander Queenslanders.
We have allocated 2 positions for our 2025 intake for graduates from First Nations communities, strengthening our commitment to building a more skilled and diverse workforce that reflects the diversity of the Queensland community.
About the program
As a Policy Futures graduate, you'll get to explore a wide range of opportunities to find your purpose, unleash your potential and create a better Queensland.
You'll rotate across Queensland Government, gaining exposure to diverse and complex policy environments where you will be free to explore your interests and learn from experts in the field.
Your work can impact how health, education, transport, infrastructure, police and emergency services impact and benefit Queenslanders.
Why join us?
Great employee benefits - Competitive pay, 12.75% superannuation and flexible work arrangements, generous leave entitlements, salary packaging options and more!
Unique and diverse career opportunities - Explore your interests. Follow your passion. The career possibilities are endless. Your work can impact how health, education, transport, infrastructure, police and emergency services impact and benefit Queenslanders.
Inclusion for all - As the state's largest employer, we are committed to building an inclusive and diverse workforce that reflects the community we serve. We're looking for graduates with a range of skills, backgrounds and lived experiences.
Opportunities for you to develop and grow - Throughout the program, you will participate in a structured learning and development program, ensuring you have the skills and tools to tackle any policy issue that gets thrown your way. Our program builds the future of policy leaders of Queensland.
Who we're looking for
We're looking for graduates with a genuine desire to make a difference in Queensland.
The policy is a diverse field that requires input from all degrees and disciplines. Whatever you studied⁠—from law to economics, creative industries to social work⁠—your skills and experience will be valued.
Some of our past graduates have backgrounds in counter-terrorism, mathematics, social sciences, law, public health and economics, just to name a few.
We would love to hear from you if you:
are a collaborative team player
have strong communication skills
are passionate about our community
are adaptable and resilient
have a passion for learning and a desire to continuously improve.
Next steps
To find out more about this exciting opportunity and apply for the 2025 Policy Futures Graduate Program visit the Policy Futures website."
Business Graduates GRADStart Graduate Program,Queensland Treasury,"Start your career with Queensland Treasury in a permanent graduate role, where you can make a difference to the lives of Queenslanders.",3 Apr 2024,"About the role
Pre-register/Apply now for Queensland Treasury's graduate roles! Graduate online application form - Queensland Treasury
We have a range of roles across including Treasury analysts, commercial analysts, economists, policy officers, accountants, statisticians, investigation officers and revenue analysts. 
Why Queensland Treasury
Queensland Treasury drives the government’s plan to deliver a strong economy for all Queenslanders. As a central agency, our purpose is to drive government priorities through our expert advice and services.
Our graduate program is your opportunity to achieve great things for yourself and for Queensland by working with highly skilled professionals in a diverse and flexible environment.
From the moment you join our 12-month graduate program, our focus is on supporting you to reach your full potential.  We are the government’s expert on state finances and the economy. With Treasury, you’ll have the opportunity to work on a variety of projects and contribute to solutions that have a lasting impact on Queensland’s prosperity.
We can offer you:
a permanent Queensland Government job
a structured professional and personal development plan, with comprehensive training
2 x 6-month rotations commencing in your ‘home’ business area
genuine leadership, mentoring and ongoing career development
networking opportunities, both internal and external to Treasury.
a full-time starting salary of $68,414 – $75,915 per annum, plus up to 12.75% superannuation
generous leave provisions
flexible work-life balance opportunities (36.25 hour full-time work week)
Permanent promotion process to AO4 after 18 months
salary packaging
an inclusive and collaborative workplace."
