,Job Title,Job Description,Company Name
0,Junior IT Support,"Recruit Ref: L05829318
Posting Date: 2024-03-11

Eternal East Cross-Border Coach Mgt Ltd.

永東巴士正式成立於一九九二年﹐主要經營香港至內地過境往返直通巴士客運服務﹐創建以來﹐一直以安全至上﹑誠信待人﹑優質服務的經營精神﹐致力開拓進取﹐歷盡風雨﹐在探索中不斷發展壯大﹐從最初的幾部車﹑幾個人﹐發展到現在全資擁有十幾間過境客運公司，自置豪華巴士超過100台的專業車隊﹐同時成為香港五大直通過境巴士公司之一﹐並深獲社會各機構團體﹑旅行社﹑政府機關﹑中外商界等客戶所歡迎及信賴。

Junior IT Support

Job Highlights

5 days work
Work Life Balance
Fresh graduate will also be considered



Job Responsibilities:

Provide First level deskside support and troubleshooting to internal users
Assist in-house systems testing, documentation and maintenance
Maintain the inventory record on IT equipment and licenses
Work with vendors to perform IT activities
Perform ad hoc IT support duties as assigned



Job Requirement:

Diploma or above in Information Technology or Computer related disciplines
IT Certificates holder is in advantage
1 year or above relative experience in IT Support
Proactive, independent, self-driven and eager to learn
Immediate available is preferred
Interested parties please quote Junior IT Support and send your application via email to
hr@eebus.net
. For any enquiries, please do not hesitate to contact me at (852) 3412-6705.


Industry:
Travel & Tourism
Job Category / Function:
IT (Systems / Technical Support)
IT (Hardware)
IT (Others)
Job Position Level:
General
Employment Term:
Full Time
Min. Edu. Level Req:
DSE
Minimum QF Level attained:
-
Total Working Exp:
1
Salary(HKD):
$13,000 or above (Monthly)
Location:
Kowloon City District / Hung Hom


Benefits:
Bank Holiday
Five-Day Work",Eternal East Cross-Border Coach Mgt Ltd.
1,Marketing Event Graduate,"Calling for all young graduate that has high interest in Events & Marketing role!!!

Office @ Empire Centre, Tsim Sha Tsui

Job scope:

- Organising exhibition, roadshow and event for our clients

- Perform face to face marketing with potential customers

Benefits:

- 1 on 1 training provided

- Career advancement opportunities

- Highly supportive team environment

- Work hard play hard

Job Types: Full-time, Permanent

Salary: From $20,000.00 per month

Benefits:

Opportunities for promotion
Professional development

Schedule:

Holidays
Monday to Friday
Weekend Availability

Language:

Cantonese (Preferred)",Swift Infinity
2,Graphic Designer - Core Business (Welcome Fresh Graduates),"Hong Kong Technology Venture Company Limited is a Hong Kong listed company (SEHK: 1137)

The Group currently engages in the development of Hong Kong's largest 24-hour online shopping mall, HKTVmall, providing an ""one-stop shop"" platform to people in Hong Kong, including entertainment, online shopping, delivery service and impressive customer experience. The Group has set up another business in 2020 – Shoalter Technology Limited (“Shoalter”) – a technology provider on eCommerce solution aiming to enable any traditional supermarkets or retailers locally and globally to enter into digital retailing successfully.

Aiming to seize the opportunity in eCommerce and technology development, it’s your turn now! Welcome you to join HKTV Group NOW to create a new career peak under the leading eCommerce and technology brand in Hong Kong.

Being a HKTVer, You Can Enjoy

Competitive salary with attractive Talent Benefits, including:

16 - 24-day annual leave, marriage, maternity, paternity, exam, birthday leave*, 2-day family care leave*, full pay sick leave and compassionate leave
Five-day week with flexi working hours before 10.00 am for selected functions in TKO office
Hybrid Work Policy (2-day per week WFH)
Talent 20% Off Purchase Discount Program
Medical and life insurance coverage
Comprehensive dental benefit
Attractive education partnership allowance
Professional training and career advancement opportunities
Free morning bus from selected districts (such as Tuen Mun, Tsuen Wan, Shatin, etc.) to office
Free round-trip shuttle bus service to the nearest MTR stations 3 times per hour
Over 300,000 square feet headquarter, well equipped with self-run canteen, relaxing collaboration area


for Talents with over 1-year employment
We hope to see all high caliber talents joining this unparalleled e-commerce platform very soon.

What You Will be Doing:
Work closely with other designers, design management team, UI / UX team, video production team and in-house clients (marketing and other user departments) to design and execute all kinds of creative and quality promotion materials

Open-minded and flexible manner as an amoeba

Create and develop online and offline promotional materials such as web banners, eDM, promotional websites, online ads, leaflet and booklet publishing and retail shop promotion materials design, etc

Who is our Right Fit:
Degree or Higher Diploma in Graphic / Multimedia Design or related disciplines

Working experience requirement: 1-3 years solid working experiences in the graphic design industry (inhouse or design house) with hand-on project experience on online advertising, typographic and printing production are absolute advantages

Proficient in Photoshop, Illustrator, InDesign and has knowledge in After Effect is preferred

Able to work independently with least supervisory and handle multiple projects simultaneously

Quick learner and self-motivator with good interpersonal, presentation and communication skills

Good & cheerful team player with different teams internally & externally

Candidates with more experience will consider as Senior Graphic Designer

Interested candidates please submit application with your CV, portfolio (at lease 5 selected work pieces in jpg/pdf). Application without portfolio will not be considered.

Full-time,Permanent",Hong Kong Technology Venture Company Limited
3,Wealth Management Manager 財富管理經理 / Graduate Trainee (歡迎在讀大學生/應屆畢業生 / IANG 畢業生),"【敢想、敢做、追求卓越、創造未來】

假如你對事業有抱負,希望一展所長,歡迎加盟我們在業界聞名的財策團隊,在金字塔頂開展自己的事業藍圖,迅速成為獨當一面的金融精英!

UTOPIA前無古人破紀錄達到100% MDRT資格(38% TOT及COT),6年內5次勇奪友邦香港超級傑出區域大獎,資源配套完善!2022年至今,儘管期間疫情嚴峻,業績依然錄得20%正增長,逆市成為各行各業的奇葩!

1.小組專屬培訓 - 資深財策顧問手把手教導✍

2.焦點早會分享 - 助你維持敏銳的市場觸覺!

3.專業法商課程 - 助你開拓高淨值客戶市場!

4.領袖培育系統 - 引領你健康發展團隊

Job Description

1.風險管理服務

2.財富管理服務

3.投資服務

4.企業團體服務

Job Requirement

1. 持有有效香港身份證

2.大學或以上學歷 (歡迎大學在讀生/應屆畢業生/IANG畢業生)

3.積極進取,富有責任感,對工作有熱情

4.中英文良好(懂普通話更佳)

立即按「Apply now」或將履歷電郵給我們,踏出成功第一步 !

如有疑問,請聯絡Mr. Man Fong (Whatsapp 6086 0719)

[email redacted, apply via Company website]

【Think It, Do It, Pursue Excellence, Create Future】

If you have ambitions for your career and want to showcase your strengths, welcome to join our well-known financial-planning team in the industry to develop your business blueprint at the top of the pyramid and become a finance elite!

UTOPIA, a record-holder that unprecedently achieved 100% MDRT team (with 38% TOT and COT), has won AIA HK Super District Awards five times in 6 years. Even though the pandemic scaled up to an unforeseen level in 2022, the team still achieved a 20% growth in business, which is a far-reach dream for many other industries!

1. Small-Group Seminar Training - Experienced financial advisors helping you hand in hand✍

2. Exclusive Morning Sharing Sessions - Equip you with the market insights on different fields

3. Professional Business Law Courses - Help you expand your high-net-worth client base

4. Leadership Training System - Inspire you to move towards the road of becoming a director yourself!

Job Description

1. Risk Management

2. Wealth Management

3. Investment Business

4. Corporate Business

Job Requirement

1. HKID holder

2. Bachelor degree holder or above(Welcome undergraduate/fresh graduate/IANG graduate)

3. Positive, enthusiastic, responsible, and passionate

4. Fluency in written and spoken English and Chinese(Speaking Mandarin is a plus)

Click “Apply Now” or send your resume by email to us to make your first step to success!

For enquiries, please contact Mr. Man Fong (Whatsapp 6086 0719)

[email redacted, apply via Company website]

Full-time,Internship",CC & Co.
4,Graduate Traffic Engineer,"We are now looking for high calibres to join our professional team to cope with our business growth. Appropriate roles will be offered to the...

Job Descriptions:
Take part & support technical project work
Conduct traffic and transport data analysis, survey and calculations
Carry out traffic engineering design for transport related facilities and propose traffic managements schemes
Provide support in reports & drawings preparation
Liaise & coordinate with various stakeholders & participate in client’s meetings
Requirements
Fresh graduate / graduates with less than 2 years of working experience / 2024 graduates
Bachelor / Master degree holder in Civil Engineering, Transport System Engineering, Transportation-related Engineering discipline

Benefits:
Job opportunity & exposure in traffic engineering and transport planning related projects in Hong Kong and overseas
Promising career prospect
Training under HKIE Scheme A and support in achieving Chartered Engineer status
On-going technical & soft-skill training & sharing
Supportive & collaborative workplace
Competitive salary and various staff benefits

We offer an attractive remuneration package with 5-day work week to the right candidate. Interested parties who are confident of fulfilling the above requirements can send us your most recent CV, detailing academic profile/ Transcript and work experiences, as well as current and expected salary packages by pressing “APPLY NOW”.

For more details on MVA, please check our website at http://www.systra.com/ [link removed]

**Personal data collected will be used for recruitment purposes only**
All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time",MVA Hong Kong Ltd
5,Corporate Banking: Junior IT Business Analysts (Major Bank) (Welcome Fresh Graduates),"IT Solutions Ltd., established in 1998, is a professional Search Firm specialising in recruitment services of IT professionals for Large Corporations in Hong Kong. For more than 24 years, we have been working with our corporate clients from Banking & Financial Sector, SI, Multinational Corporations and Hong Kong Government Departments.

Our know-how covers all aspects of IT services, including all varieties of technologies of Application Development from old to the latest technologies, Data Scientist, Business Analysis, QA & Project Management, as well as all aspects of IT Infrastructure on all platforms, network and security.

We are searching on behalf of a major bank for a number of Junior IT Business Analysts .

Responsibilities:
Create detailed business analysis, outline problems and professional solutions to users and developers

Formulate Test Plans and conduct User Acceptance Test

Communicate and collaborate with various internal units and external parties closely

Assist to manage IT project implementation

Requirements:
Degree in Business Studies or Computer Science or related discipline

With or without Working experience

Strong attentions to detail and good problem-solving

Good written and spoken Chinese and English

Good communications and presentation skills

Fresh Graduates, or with working experience in other areas are welcome to apply

Benefits:
Attractive remuneration will be offered to the successful candidate.

Excellent opportunity to further develop your professional skills in major banking environment

Gain expertise in the full range of operations of Payment Systems in the Bank

If you are interested, please send your resume in MS Word format, specifying your availability, current and expected salaries, to:

[email redacted, apply via Company website]

Personal data collected will be used for recruitment purposes only.

IT Solutions Ltd.

Suite 2102, 21st Floor

Lucky Building

39 Wellington Street

Central, Hong Kong

(P.S. We do not process applications from overseas for this position)",IT Solutions Ltd.
6,Civil Engineering Graduate,"Job Highlights
Degree Holder in Civil Engineering
Good communication and presentation skills
Fresh graduate will also be considered

Job Description
Handle site matters independently;
Assist Site Engineer to carry out engineering work;
Good communication and presentation skills;
Fresh graduate will also be considered

Job Requirements

Degree Holder in Civil Engineering;
Knowledge in PowerPoint, MS Office and AutoCAD;
Good common of spoken and written English and Chinese
Working Location : Southern Area

Interested parties please submit full resume with expected salary and available by email recruit@bestbuild.hk . All personal data collected will be used for recruitment purpose only.",Best Build Construction Company Limited
7,CUSTOMER SERVICE ASSOCIATE (5-day Work) (Welcome Fresh Diploma Graduates),"TIMES SQUARE is a subsidiary of the Wharf Real Estate Investment Company Limited specializing in prime office and retail property management.

We sincerely invite high caliber, committed and professional candidates who are intelligent, dynamic and with good business acumen to join us. Interested parties are invited to send full resume by clicking Apply Now button.

The Company is committed to building and developing quality human capital, not only for operational excellence that leads to organizational growth but also for career growth for aspiring talents. We are seeking enthusiastic fresh diploma graduates who are passionate to bring a joyful shopping experience and deliver exceptional customer services in our world-class shopping malls.

Responsibilities:
The selected candidates will undergo 2-year on-the-job training

Training areas will include but not limit to handling enquiries from shoppers/ tourists about the shopping mall, offering assistance/ services to shoppers in a helpful manner as well as placing in Very Important Customer lounge operation

Shift duty is required

Requirements:
Fresh Higher Diploma/ Diploma graduates or above in related disciplines

Keen interest in developing career in shopping mall operations or customer services

Pleasant, proactive and customer-oriented with good manners

Fast learner, self-motivated and able to follow through

Good command of spoken Cantonese, English and Putonghua

Young potentials with some working experience and would change the field to customer service are also welcome

We Offer:
Collaborative and supportive team environment

Comprehensive on-the-job training programmes

Opportunities for career advancement

Competitive salary and benefits

We offer competitive remuneration package that commensurate with experience and qualifications. Interested parties are invited to send full resume stating contact telephone number, date available, present and expected salary to our recruitment e-mail address.

(Personal data provided will be used strictly in accordance with the Company’s personal data policy which is available upon request.)",Times Square Limited
8,Assistant Engineer / Graduate Engineer (Ref.: AE/POC/JD),"Degree
Civil / Structural Engineering

Degree holder in Civil / Structural Engineering or equivalent;
0~3 years' relevant working experience;
Familar with PC and AutoCAD operation;
Excellent interpersonal and negotiation skills;
Fluent in both written and spoken English and Cantonese;
Mature, independent, initiative, co-operation and positive working attitude;
Independent, can work under pressure with minimal supervision.

Interested parties, please apply with full resume stating relevant job reference, present and expected salary to : Human Resources Manager, Unit 601, K. Wah Centre, 191 Java Road, North Point, Hong Kong or by e-mail via ""APPLY NOW"" (Please quote the reference no.).
Applicants who do not state the current and expected salary will not be considered. Applicants not invited for interview within 8 weeks may consider their applications unsuccessful. All personal data provided by applicants will be treated in strict confidence and used for recruitment purpose only.
All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time",Penta-Ocean Construction Co Ltd
9,LEASING ASSOCIATE (5-day Work) (Fresh Graduates Welcome),"HARRIMAN LEASING LIMITED is a subsidiary of Wharf Real Estate Investment Company Limited specializing in leasing of prime office and retail premises.

We sincerely invite high caliber, committed and professional candidates who are intelligent, dynamic and with good business acumen to join us. Interested parties are invited to send full resume to [email redacted, apply via Company website].

The Company is committed to building and developing quality human capital, not only for operational excellence that leads to organizational growth but also for career growth for aspiring talents. We are currently seeking fresh university graduates who are passionate to develop their career in the leasing field to join our talent development programme.

Responsibilities:
Undergo 2-year rotational placements in the investment properties in HK and/ or Mainland covering retail or office leasing depending on business needs and career aspiration

Handle the leasing matters for prestigious retail/ office portfolio in HK and/ or Mainland

Liaise with tenants and real estate agents

Conduct research and analyze market trends on trade mix

Perform leasing administration and prepare leasing reports

Requirements:
Fresh university graduates in Business, Marketing, Real Estates or related disciplines

Passionate to develop in the leasing field

Proactive, positive thinking, organized and detail-oriented

A good team player with strong interpersonal and presentation skills

Good command of written and spoken English, Chinese and Putonghua

Travel to PRC cities will be required during the rotations

We Offer:
Comprehensive training and development programmes and on-the-job training

Opportunities for career advancement

Competitive salary and benefits

We offer competitive remuneration package that commensurate with experience and qualifications. Interested parties are invited to send full resume stating career aspiration, contact telephone number, date available, present and expected salary to our recruitment e-mail address.

(Personal data provided will be used strictly in accordance with the Company’s personal data policy which is available upon request.)

Full-time",Harriman Leasing Ltd
